method,mse_mean,mse_std,wasserstein_distance,c2st
NRE_Standard,0.2029799073934555,0.031542129814624786,0.45053326005924665,0.9952999949455261
NRE_Corrected,0.20367655158042908,0.03412491828203201,0.45130607404697864,0.9955000281333923
