,ALPHA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,[23.734226],"[0.49790433, 0.9765275, 0.981214, 0.97921336, 0.97983354, 0.9856304, 0.9816141, 0.9837298, 0.9759823, 0.9864957, 0.98308456]","[0.4972229, 0.93642044, 0.97092056, 0.9704895, 0.97810364, 0.9796448, 0.97195053, 0.98286057, 0.98376465, 0.98052216, 0.984375]","[3.4049783, 0.08502842, 0.06542796, 0.07912408, 0.068261914, 0.057013363, 0.06911626, 0.063452035, 0.09844757, 0.050557632, 0.0715175]","[3.3892143, 0.19598931, 0.1141577, 0.11518002, 0.08243034, 0.07628993, 0.121277906, 0.06548405, 0.06433053, 0.07574847, 0.061432518]",3.9411139488220215,1741492138.287974,13.881469011306763,[120.26880865],[0.],[0.99895],[-111.46664524],[0.],[0.92079997],[-111.6676135],[0.],[0.91769999]
1,0.1,[23.734226],"[0.50016004, 0.32650948, 0.915508, 0.41446263, 0.559334, 0.9390055, 0.940706, 0.9490587, 0.9439621, 0.95120937, 0.9609375]","[0.4987526, 0.77090454, 0.86107254, 0.89533234, 0.87268066, 0.91531754, 0.93629074, 0.94618607, 0.92741394, 0.9498329, 0.95578766]","[6.9675946, 1.4855416, 0.28999054, 1.4196724, 0.536702, 0.17223184, 0.17235266, 0.14976613, 0.19079489, 0.15706679, 0.13096218]","[6.9947853, 0.5125834, 0.3538773, 0.28468728, 0.3257212, 0.23573932, 0.19257534, 0.16316047, 0.24309784, 0.15089774, 0.13785923]",1.168687105178833,1741492220.898378,10.897053003311157,[100.65928045],[0.],[0.99299997],[-54.82658338],[0.],[0.71789998],[-56.08469069],[0.],[0.71684998]
2,0.01,[23.734226],"[0.50172055, 0.50434136, 0.49825445, 0.45106936, 0.49831447, 0.4752921, 0.7790693, 0.78369576, 0.84768623, 0.87202907, 0.8735495]","[0.50068665, 0.5018425, 0.50855255, 0.5187187, 0.5039253, 0.5278511, 0.7005348, 0.7931137, 0.82730865, 0.8326645, 0.82666016]","[4.0587826, 0.69614404, 0.7090424, 0.69658226, 0.6937707, 0.7110452, 0.4753424, 0.44513157, 0.35679144, 0.33854887, 0.34782615]","[4.069504, 0.79596186, 0.69846696, 0.69325423, 0.69644487, 0.68898743, 0.56745875, 0.4485059, 0.41221625, 0.4116335, 0.4181385]",1.494431972503662,1741492300.419331,15.70584487915039,[27.71462834],[4.65303253e-169],[0.93384999],[54.60084649],[0.],[0.78694999],[55.64009737],[0.],[0.792]
3,0.001,[23.734226],"[0.49865958, 0.5022757, 0.5006152, 0.5022057, 0.50134045, 0.5013604, 0.5013504, 0.49866456, 0.49864957, 0.5013054, 0.49862456]","[0.50097275, 0.5002632, 0.49910736, 0.50048447, 0.5003166, 0.5017891, 0.49999237, 0.49859238, 0.50006866, 0.5012131, 0.4999466]","[1.3650343, 0.6944085, 0.69325817, 0.69320357, 0.69476074, 0.6957368, 0.6940205, 0.6936621, 0.6935889, 0.6932548, 0.6949704]","[1.3602419, 0.8594601, 0.70151126, 0.6980494, 0.6957284, 0.694903, 0.69456613, 0.69419694, 0.69391716, 0.69366944, 0.6934855]",2.113853931427002,1741492410.000393,14.247418880462646,[0.55840601],[0.57656717],[0.61664999],[120.35393609],[0.],[0.99905002],[0.84889354],[0.39594053],[0.61624998]
4,0.0001,[23.734226],"[0.49861956, 0.5013604, 0.5014005, 0.49921474, 0.4993898, 0.49913472, 0.50141543, 0.50138044, 0.49888465, 0.49988496, 0.49864456]","[0.5022507, 0.5014992, 0.50102997, 0.4993515, 0.49810028, 0.49942398, 0.49848557, 0.49834824, 0.50050735, 0.5002556, 0.49903107]","[8.28002, 0.72370815, 0.7061346, 0.69321024, 0.69315547, 0.6931556, 0.6931585, 0.69316864, 0.69315106, 0.6931535, 0.6932538]","[8.218308, 0.7907158, 0.69990957, 0.6968844, 0.69554377, 0.69567645, 0.69482636, 0.6942519, 0.6940832, 0.6938652, 0.693776]",1.5485000610351562,1741492491.606775,7.483068943023682,[-1.50467169],[0.13240851],[0.49950001],[120.09594023],[0.],[0.99905002],[-1.35055977],[0.1768365],[0.49945]
