alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9833999872207642,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,C2ST,0.9834499955177307,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,C2ST,0.983299970626831,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_stat,-80.46590524906735,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_stat,-80.49242398680742,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_stat,-80.49185694410787,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,NRE,C2ST,0.5074499845504761,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
1.0,inf,NRE,C2ST,0.5177000164985657,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-9.646278,0,-9.454421,-7.8264923,-9.5807,-9.394965,-9.805491,-10.309103,-8.678375,-9.057056,-9.387018,-8.545383,-10.209665,-10.802639,-10.150117,-8.719095,-9.495745,-10.964371,-9.716291,-9.215012,-10.035992,-8.409632
