alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9726999998092651,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,C2ST,0.9728999733924866,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,C2ST,0.9732000231742859,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_stat,32.10777512526723,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_stat,32.103008537390984,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_stat,32.09240986023758,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_pvalue,3.43412452344618e-226,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_pvalue,4.0025968998099505e-226,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,ABC,RS_pvalue,5.626379683556462e-226,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
1.0,inf,NRE,C2ST,0.5238500237464905,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,3.2369492,0,3.6060925,3.095063,4.3074203,3.8131866,2.8758056,3.4367092,3.5329978,4.6715508,2.0200045,3.5565646,4.0039854,1.9354353,0.5163212,2.5130699,3.6347842,4.3548064,4.5581136,2.5119596,4.054453,1.186728
