alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9721500277519226,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,C2ST,0.972350001335144,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,C2ST,0.9733499884605408,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_stat,-10.434114748535531,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_stat,-10.4511407260935,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_stat,-10.453825299738087,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_pvalue,1.7322076891945465e-25,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_pvalue,1.4477331048421667e-25,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,ABC,RS_pvalue,1.4073185561733787e-25,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,C2ST,0.6403499841690063,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,C2ST,0.6418499946594238,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,C2ST,0.6438000202178955,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,RS_stat,-23.515205638778195,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,RS_stat,-23.593440385318473,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
1.0,inf,NRE,RS_stat,-22.75565990335485,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-0.60349333,0,-1.097808,-0.087207556,-1.273523,-0.5636231,-0.34843013,-1.585206,-0.77707124,-0.39543548,-0.11989719,-1.4082915,-2.0704603,-2.223754,-1.4169304,-1.6329194,-1.0133016,-1.4004431,-0.53213257,-1.0624473,-0.8870628,-1.3545649
