alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9750499725341797,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,C2ST,0.9749000072479248,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,C2ST,0.9761000275611877,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_stat,46.34305754854449,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_stat,46.315770914967196,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_stat,46.32259502279003,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
1.0,inf,NRE,C2ST,0.7367500066757202,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,4.679008,0,3.69792,5.4689894,3.301189,5.431789,5.375886,5.066323,5.094987,5.5385847,2.7398255,4.1344366,4.0382605,5.1611166,5.4751344,3.9865942,5.8075128,5.4178333,4.6159797,6.1458817,5.2753696,4.6270533
