alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9767500162124634,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,C2ST,0.9765499830245972,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,C2ST,0.977150022983551,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_stat,-61.161046766693374,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_stat,-61.1691041617699,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_stat,-61.14272259202625,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
1.0,inf,NRE,C2ST,0.567799985408783,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-6.9306593,0,-5.1960535,-6.804932,-6.3621435,-4.8609667,-6.284049,-6.825384,-7.1653733,-6.181527,-7.030864,-6.0403156,-9.260306,-6.442523,-7.3059807,-8.451067,-8.341308,-7.473424,-7.2798076,-4.924885,-5.6425867,-6.458257
