alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9724000096321106,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,C2ST,0.9718499779701233,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,C2ST,0.9725000262260437,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_stat,-17.681363795523538,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_stat,-17.666446775910817,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_stat,-17.68664721281494,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_pvalue,5.836712154875866e-70,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_pvalue,7.603801634224322e-70,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,ABC,RS_pvalue,5.314499199820436e-70,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
1.0,inf,NRE,C2ST,0.6493499875068665,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,-1.3768345,0,-0.049318433,-2.1107283,-1.2364992,-2.0411546,-0.6593696,-1.1945932,-1.0676571,-2.2205224,-2.2690969,0.012852788,-2.758597,-1.7059262,-3.7043056,-1.7900876,-1.7054394,-2.1263433,-1.897682,-1.6686571,-2.2424624,-0.88158154
