alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9819999933242798,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,C2ST,0.9818500280380249,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,C2ST,0.9825000166893005,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_stat,85.18119351936217,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_stat,85.1605080956135,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_stat,85.1639225989534,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
1.0,inf,NRE,C2ST,0.6658999919891357,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,11.1118555,0,9.532789,9.790945,11.014452,10.652064,9.796948,10.664862,11.791559,9.34069,9.874721,10.425099,11.606795,9.809959,9.538488,10.547706,11.448199,10.642581,11.806083,9.544128,9.886987,10.361376
