alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5,xobs_6,xobs_7,xobs_8,xobs_9,xobs_10,xobs_11,xobs_12,xobs_13,xobs_14,xobs_15,xobs_16,xobs_17,xobs_18,xobs_19,xobs_20
1.0,inf,ABC,C2ST,0.9921500086784363,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,C2ST,0.9922000169754028,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,C2ST,0.9918500185012817,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_stat,108.97535232375525,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_stat,108.97570136731761,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_stat,108.98344156140237,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,ABC,RS_pvalue,0.0,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
1.0,inf,NRE,C2ST,0.6018999814987183,1.0,0,10.0,100,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,15.207054,0,15.900994,15.417906,15.184411,15.596172,15.134788,14.498754,14.692436,14.340348,15.604441,14.51668,16.558428,15.172653,16.187988,15.74876,15.486656,15.674129,16.85997,16.134636,14.683797,15.400769
