,ALPHA,TRUE_DATA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,"[ 3.05916729e+01  3.24463921e+01  3.41038551e+01  3.15087605e+01
  3.09497128e+01  3.01652832e+01  2.95106831e+01  3.17262039e+01
  3.28206406e+01  3.11128387e+01  3.33480759e+01  3.09449635e+01
  3.18978500e+01  3.17383385e+01  2.99667015e+01  3.31431961e+01
  3.29039650e+01  3.06991730e+01  3.28460732e+01  3.12483654e+01
  4.73652458e+01  4.73643761e+01  4.75770226e+01  4.59451790e+01
  4.67829132e+01  4.70426559e+01  4.59014778e+01  4.78882942e+01
  4.63765526e+01  4.67839394e+01  4.65883064e+01  4.71888161e+01
  4.80371475e+01  4.67684059e+01  4.66724777e+01  4.54812584e+01
  4.79364929e+01  4.63395538e+01  4.59287720e+01  4.62950974e+01
  3.46125340e+00  2.52879167e+00  3.19000173e+00  4.50647306e+00
  4.27930164e+00  3.74307823e+00  2.76535416e+00  4.22124910e+00
  2.56101966e+00  2.45947742e+00  2.15704131e+00  2.03541660e+00
  3.38200998e+00  3.72859502e+00  2.38179851e+00  3.45577312e+00
  3.77795506e+00  2.65319228e+00  2.16805315e+00  4.44478989e+00
 -1.09818554e+00 -6.59831107e-01 -1.15265393e+00 -2.08151817e+00
 -8.00157905e-01  2.57526493e+00 -1.72583449e+00 -2.15779138e+00
  1.60422958e-02 -1.09376502e+00  8.74685571e-02 -2.28442407e+00
 -4.81943607e-01 -2.53615767e-01 -2.33378196e+00 -6.64638221e-01
 -4.97527480e-01  4.92127031e-01 -5.53028286e-01  3.19663972e-01
 -1.18411961e+01 -9.74977779e+00 -1.12706213e+01 -1.18691902e+01
 -1.15042286e+01 -1.05384865e+01 -1.22290039e+01 -1.27233200e+01
 -1.11908226e+01 -1.08625422e+01 -1.15320396e+01 -1.12194366e+01
 -1.11470213e+01 -9.57000065e+00 -1.06234388e+01 -1.07660961e+01
 -1.00691195e+01 -8.10807896e+00 -1.18077927e+01 -1.20021849e+01]",[ 31.513287   47.145374    3.3116958  -0.7275483 -11.192483 ],"[0.52213544, 0.59765625]","[0.496875, 0.54375]","[9.928071, 1.2742399]","[10.679895, 2.8810136]",0.011644124984741211,1741495859.8360178,14.636826992034912,[109.38643624],[0.],[0.99479997],[-108.24578024],[0.],[0.99515003],[-96.71187455],[0.],[0.9921]
1,0.99,"[ 3.05916729e+01  3.24463921e+01  3.41038551e+01  3.15087605e+01
  3.09497128e+01  3.01652832e+01  2.95106831e+01  3.17262039e+01
  3.28206406e+01  3.11128387e+01  3.33480759e+01  3.09449635e+01
  3.18978500e+01  3.17383385e+01  2.99667015e+01  3.31431961e+01
  3.29039650e+01  3.06991730e+01  3.28460732e+01  3.12483654e+01
  4.73652458e+01  4.73643761e+01  4.75770226e+01  4.59451790e+01
  4.67829132e+01  4.70426559e+01  4.59014778e+01  4.78882942e+01
  4.63765526e+01  4.67839394e+01  4.65883064e+01  4.71888161e+01
  4.80371475e+01  4.67684059e+01  4.66724777e+01  4.54812584e+01
  4.79364929e+01  4.63395538e+01  4.59287720e+01  4.62950974e+01
  3.46125340e+00  2.52879167e+00  3.19000173e+00  4.50647306e+00
  4.27930164e+00  3.74307823e+00  2.76535416e+00  4.22124910e+00
  2.56101966e+00  2.45947742e+00  2.15704131e+00  2.03541660e+00
  3.38200998e+00  3.72859502e+00  2.38179851e+00  3.45577312e+00
  3.77795506e+00  2.65319228e+00  2.16805315e+00  4.44478989e+00
 -1.09818554e+00 -6.59831107e-01 -1.15265393e+00 -2.08151817e+00
 -8.00157905e-01  2.57526493e+00 -1.72583449e+00 -2.15779138e+00
  1.60422958e-02 -1.09376502e+00  8.74685571e-02 -2.28442407e+00
 -4.81943607e-01 -2.53615767e-01 -2.33378196e+00 -6.64638221e-01
 -4.97527480e-01  4.92127031e-01 -5.53028286e-01  3.19663972e-01
 -1.18411961e+01 -9.74977779e+00 -1.12706213e+01 -1.18691902e+01
 -1.15042286e+01 -1.05384865e+01 -1.22290039e+01 -1.27233200e+01
 -1.11908226e+01 -1.08625422e+01 -1.15320396e+01 -1.12194366e+01
 -1.11470213e+01 -9.57000065e+00 -1.06234388e+01 -1.07660961e+01
 -1.00691195e+01 -8.10807896e+00 -1.18077927e+01 -1.20021849e+01]",[ 31.513287   47.145374    3.3116958  -0.7275483 -11.192483 ],"[0.48828125, 0.55598956]","[0.50572914, 0.52473956]","[3.6694577, 1.4421777]","[3.6377134, 2.7416632]",0.8982019424438477,1741495878.6994941,13.76055097579956,[106.66226268],[0.],[0.9957],[-61.81614275],[0.],[0.9867],[-69.1126351],[0.],[0.98874998]
