,ALPHA,TRUE_DATA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,"[ -7.948456   -6.7883286  -6.741268   -7.8867865  -6.8232126  -8.168429
  -8.174631   -6.7324743  -6.6047583  -7.8990965  -7.2703023  -7.2949677
  -7.052947   -5.741518   -7.22341    -6.2281103  -7.397662   -7.4069414
  -5.79466    -7.4937534   9.2267685  10.937933    9.244664    8.972897
   7.5886993   7.488435   10.657603    9.1246      9.044252    9.87114
   9.076785    8.326766    8.128001    9.4536085   8.082154    8.88063
   8.248178    9.529551    8.1347      9.916871  -16.01368   -13.812027
 -13.617348  -14.641801  -11.5028925 -12.540261  -13.27499   -12.803489
 -14.161028  -13.704322  -15.550562  -15.9096    -12.656497  -13.846385
 -11.391748  -12.544872  -13.011363  -12.37147   -13.195189  -13.886553
 -31.832155  -32.269234  -32.506443  -31.111906  -31.892643  -31.915894
 -30.002907  -30.906536  -32.51052   -31.738968  -32.704914  -31.497885
 -31.767162  -33.259758  -30.288252  -30.364643  -31.615528  -31.92576
 -32.186954  -31.573856   33.475697   34.399075   33.15359    32.827057
  31.909842   33.15708    33.067223   31.749712   31.856121   32.551548
  33.18772    34.54246    32.065628   32.374077   33.23425    32.846664
  33.42431    34.750748   34.041656   33.432457 ]",[ -6.7154675   8.947262  -13.372429  -31.598534   33.10819  ],"[0.49609375, 0.546875]","[0.50104165, 0.5075521]","[7.184967, 1.292663]","[7.810491, 3.5440047]",0.015608072280883789,1741495823.709451,13.050718069076538,[-37.32001202],[7.77386033e-305],[0.9892],[45.42696884],[0.],[0.9867],[40.10284449],[0.],[0.98750001]
1,0.99,"[ -7.948456   -6.7883286  -6.741268   -7.8867865  -6.8232126  -8.168429
  -8.174631   -6.7324743  -6.6047583  -7.8990965  -7.2703023  -7.2949677
  -7.052947   -5.741518   -7.22341    -6.2281103  -7.397662   -7.4069414
  -5.79466    -7.4937534   9.2267685  10.937933    9.244664    8.972897
   7.5886993   7.488435   10.657603    9.1246      9.044252    9.87114
   9.076785    8.326766    8.128001    9.4536085   8.082154    8.88063
   8.248178    9.529551    8.1347      9.916871  -16.01368   -13.812027
 -13.617348  -14.641801  -11.5028925 -12.540261  -13.27499   -12.803489
 -14.161028  -13.704322  -15.550562  -15.9096    -12.656497  -13.846385
 -11.391748  -12.544872  -13.011363  -12.37147   -13.195189  -13.886553
 -31.832155  -32.269234  -32.506443  -31.111906  -31.892643  -31.915894
 -30.002907  -30.906536  -32.51052   -31.738968  -32.704914  -31.497885
 -31.767162  -33.259758  -30.288252  -30.364643  -31.615528  -31.92576
 -32.186954  -31.573856   33.475697   34.399075   33.15359    32.827057
  31.909842   33.15708    33.067223   31.749712   31.856121   32.551548
  33.18772    34.54246    32.065628   32.374077   33.23425    32.846664
  33.42431    34.750748   34.041656   33.432457 ]",[ -6.7154675   8.947262  -13.372429  -31.598534   33.10819  ],"[0.5, 0.53255206]","[0.4953125, 0.5390625]","[4.3283877, 1.414835]","[4.4802566, 2.199525]",0.9859232902526855,1741495841.3292158,12.552855968475342,[-30.31002564],[8.45709763e-202],[0.98554999],[59.95177126],[0.],[0.98720002],[59.40135773],[0.],[0.98565]
