,ALPHA,TRUE_DATA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,"[-12.772543  -12.800806  -10.483801  -11.581261  -11.692856  -10.423947
 -10.990474  -11.907023  -11.388276  -12.736343  -13.429774  -12.813974
 -11.896854  -12.727439  -13.557906  -12.214689  -10.703046  -11.734935
 -12.546235  -12.396985   11.597471   10.557064   11.199648   11.886998
  10.451815   10.152511   10.240298   10.037022   10.417352   10.17692
  12.125907    9.62748    10.157267   11.533049   12.068231    9.90209
  10.920444   11.877422   10.535395   10.691497  -17.978483  -17.001713
 -17.473347  -17.37413   -17.854597  -14.597527  -17.221834  -16.329351
 -16.650072  -18.617746  -16.99535   -17.927505  -17.08497   -17.516262
 -17.027405  -17.468098  -18.715473  -15.695276  -17.726625  -17.324657
 -15.57171   -16.254444  -15.416984  -16.202972  -17.661892  -17.648258
 -16.30539   -18.58631   -17.059635  -18.43511   -17.895414  -18.814884
 -17.186691  -18.86059   -17.054493  -18.525036  -16.213848  -17.823212
 -18.049747  -17.42597    -7.785516   -7.931154   -7.527899   -7.3983355
  -7.032785   -7.7720633  -9.027574   -7.8865385  -6.411157   -9.603852
  -7.6802654  -5.4008565  -6.0580373  -9.308999   -6.6789794  -5.8065486
  -7.2822285  -7.3988447  -8.522502   -8.384313 ]",[-11.933952   10.90999   -17.025951  -17.289265   -7.4995193],"[0.48828125, 0.54036456]","[0.5049479, 0.51692706]","[5.8467774, 1.5954514]","[6.2855277, 3.189279]",0.010758161544799805,1741495788.6774957,12.971039056777954,[-55.45963817],[0.],[0.98869997],[79.79170863],[0.],[0.99010003],[80.30486635],[0.],[0.99084997]
1,0.99,"[-12.772543  -12.800806  -10.483801  -11.581261  -11.692856  -10.423947
 -10.990474  -11.907023  -11.388276  -12.736343  -13.429774  -12.813974
 -11.896854  -12.727439  -13.557906  -12.214689  -10.703046  -11.734935
 -12.546235  -12.396985   11.597471   10.557064   11.199648   11.886998
  10.451815   10.152511   10.240298   10.037022   10.417352   10.17692
  12.125907    9.62748    10.157267   11.533049   12.068231    9.90209
  10.920444   11.877422   10.535395   10.691497  -17.978483  -17.001713
 -17.473347  -17.37413   -17.854597  -14.597527  -17.221834  -16.329351
 -16.650072  -18.617746  -16.99535   -17.927505  -17.08497   -17.516262
 -17.027405  -17.468098  -18.715473  -15.695276  -17.726625  -17.324657
 -15.57171   -16.254444  -15.416984  -16.202972  -17.661892  -17.648258
 -16.30539   -18.58631   -17.059635  -18.43511   -17.895414  -18.814884
 -17.186691  -18.86059   -17.054493  -18.525036  -16.213848  -17.823212
 -18.049747  -17.42597    -7.785516   -7.931154   -7.527899   -7.3983355
  -7.032785   -7.7720633  -9.027574   -7.8865385  -6.411157   -9.603852
  -7.6802654  -5.4008565  -6.0580373  -9.308999   -6.6789794  -5.8065486
  -7.2822285  -7.3988447  -8.522502   -8.384313 ]",[-11.933952   10.90999   -17.025951  -17.289265   -7.4995193],"[0.51432294, 0.4934896]","[0.4924479, 0.5208333]","[5.829676, 2.3998995]","[6.0360856, 2.9808314]",0.902414083480835,1741495805.695244,12.31052303314209,[-50.10682857],[0.],[0.98605001],[58.37049247],[0.],[0.98605001],[62.37065172],[0.],[0.98664999]
