,ALPHA,TRUE_THETA,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE
0,1.0,[23.734226],"[0.50380623, 0.9737766, 0.981234, 0.97770786, 0.9412812, 0.9818992, 0.97429675, 0.98260945, 0.9858905, 0.98678076, 0.987506, 0.98822623, 0.9883963, 0.9890915, 0.98924154, 0.98924655, 0.9891765, 0.9892716, 0.98954666, 0.9894066, 0.9893216, 0.98929155, 0.9894366, 0.98950166, 0.9895166, 0.98950666]","[0.5032921, 0.9347954, 0.97359467, 0.974247, 0.97787094, 0.9785843, 0.97273254, 0.98287964, 0.9847641, 0.98464966, 0.98747635, 0.98620224, 0.9888077, 0.9889908, 0.9890175, 0.9892845, 0.9895363, 0.9893112, 0.9895973, 0.98963165, 0.98947525, 0.98976135, 0.9898453, 0.9897232, 0.98968124, 0.98975754]","[3.1403706, 0.08809375, 0.067743085, 0.08209699, 0.16552585, 0.07653472, 0.095640674, 0.06808464, 0.057166424, 0.05059515, 0.04808498, 0.046375796, 0.047731057, 0.043364175, 0.043480925, 0.044003047, 0.044329498, 0.043063693, 0.04250558, 0.042605158, 0.04285508, 0.04325276, 0.042445756, 0.042582005, 0.042530768, 0.042434007]","[3.1355734, 0.20697448, 0.10037048, 0.10490404, 0.08749212, 0.079310685, 0.10095703, 0.066292234, 0.060968094, 0.06036779, 0.050428845, 0.055550624, 0.04502228, 0.044752836, 0.044166014, 0.043455373, 0.042470198, 0.04343655, 0.042337485, 0.042222243, 0.04281864, 0.042316355, 0.042070974, 0.04175353, 0.041464444, 0.041731894]",2.1893622875213623,1741471341.9370627,9.187582969665527,[120.51899818],[0.],[0.99924999],[-4.92467032],[8.45027004e-07],[0.61229998],[-5.06123698],[4.16545082e-07],[0.61269999]
1,0.99,[23.734226],"[0.4834297, 0.97426677, 0.9818892, 0.9799686, 0.9803587, 0.9786582, 0.9845601, 0.98455006, 0.9821993, 0.9852603, 0.9862606, 0.9876711, 0.987381, 0.9883013, 0.9876661, 0.9877561, 0.98863137, 0.9886464, 0.98867637, 0.98890144, 0.98890644, 0.9889965, 0.98895144, 0.98901147, 0.98890644, 0.9889815, 0.9890265, 0.98900646]","[0.4839859, 0.93346405, 0.96826935, 0.9715996, 0.9757042, 0.97558594, 0.9821167, 0.9838829, 0.9795418, 0.9843712, 0.98447037, 0.9871216, 0.9869766, 0.9880371, 0.98801804, 0.9886551, 0.9887085, 0.9890137, 0.98915863, 0.9893036, 0.9892807, 0.98924637, 0.9894104, 0.98960876, 0.98936844, 0.9891739, 0.9896431, 0.9893532]","[1.7196256, 0.095138475, 0.06980939, 0.06992281, 0.06855762, 0.0789244, 0.058483183, 0.057532713, 0.06425507, 0.05702472, 0.056428287, 0.04922916, 0.049330078, 0.04625948, 0.051097717, 0.05121847, 0.04683899, 0.04512715, 0.045668643, 0.04458354, 0.0443919, 0.044348896, 0.04455709, 0.044365775, 0.04452125, 0.044295542, 0.044261575, 0.04424996]","[1.728046, 0.21297522, 0.13301782, 0.12068258, 0.094154835, 0.09556607, 0.06550178, 0.06268753, 0.08365676, 0.06140298, 0.06242068, 0.051710498, 0.052556843, 0.047719344, 0.047972403, 0.04575289, 0.04569793, 0.0446791, 0.043985784, 0.042809688, 0.043481685, 0.043490823, 0.042931706, 0.042423613, 0.04317401, 0.04382106, 0.042153865, 0.042920344]",1.9785044193267822,1741471456.4812527,7.025062322616577,[120.0925392],[0.],[0.99924999],[48.5548621],[0.],[0.6512],[48.3925201],[0.],[0.65259999]
2,0.1,[23.734226],"[0.5003901, 0.9051346, 0.91703844, 0.8814621, 0.9498239, 0.9240907, 0.9407961, 0.924931, 0.9428517, 0.95318, 0.9508493, 0.95639604, 0.95349514, 0.95509064, 0.96429855, 0.96551895, 0.95952207, 0.95985216, 0.96455866, 0.96426857, 0.9668594, 0.96614414, 0.9681498, 0.96605414, 0.96916515, 0.9680248, 0.9665993, 0.96922016, 0.9695253, 0.96958524, 0.96896005, 0.96975034, 0.96988535, 0.96993536, 0.9698153, 0.9697153, 0.9696753, 0.9697753]","[0.5005989, 0.76438904, 0.84284973, 0.8745384, 0.90771866, 0.8974495, 0.91174316, 0.8835678, 0.93573, 0.94295883, 0.9488754, 0.93885803, 0.9365921, 0.9361305, 0.9534683, 0.94036865, 0.9625511, 0.9626236, 0.9628792, 0.96481323, 0.965744, 0.9661217, 0.96668243, 0.9659958, 0.9669571, 0.9674454, 0.968441, 0.9688301, 0.9690094, 0.9685364, 0.9690056, 0.9694176, 0.9697037, 0.9691467, 0.9698067, 0.9700241, 0.96985245, 0.9698105]","[1.5498506, 0.27005684, 0.24726385, 0.32804504, 0.22830728, 0.2169227, 0.17540495, 0.22814246, 0.16770506, 0.15474445, 0.13932012, 0.14171055, 0.13619912, 0.15425922, 0.12089947, 0.11561535, 0.1401243, 0.12317508, 0.11586514, 0.11298613, 0.11138154, 0.11197951, 0.10409812, 0.11126069, 0.10285108, 0.10506341, 0.106447265, 0.10140703, 0.102096714, 0.100891165, 0.10222548, 0.10284588, 0.10106562, 0.10087764, 0.10041256, 0.10059455, 0.100622326, 0.10053755]","[1.5482445, 0.5091949, 0.3873875, 0.34757245, 0.25684106, 0.2775799, 0.24581951, 0.35059863, 0.18673117, 0.17032501, 0.15710467, 0.17982903, 0.18195808, 0.1864093, 0.14999415, 0.18968911, 0.12136967, 0.12174815, 0.121139765, 0.11555734, 0.111660786, 0.112259656, 0.11039286, 0.1122622, 0.10896194, 0.107551634, 0.10511449, 0.10419157, 0.103600204, 0.1044106, 0.10351364, 0.10228038, 0.101451665, 0.10222452, 0.10082978, 0.1007721, 0.10131178, 0.10086733]",28.0748450756073,1741471602.88376,8.398597002029419,[102.40706526],[0.],[0.99269998],[-15.16973205],[5.61053899e-52],[0.55245],[-14.79254823],[1.63639261e-49],[0.55075002]
