,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
3062,-28.823273,0.007028615,39.0961,3.4445275e-05,39.081448,0.29522526,-28.226496,0.0073681423,39.0961,0.3296291251060341
3063,-28.80861,0.007036063,39.096424,3.4480603e-05,39.081776,0.2955747,-28.211926,0.007375721,39.096424,0.3299665436572901
3064,-28.793951,0.0070435116,39.09675,3.451593e-05,39.0821,0.2959152,-28.197357,0.0073833005,39.09675,0.33030418942397344
3065,-28.779293,0.007050965,39.097073,3.4551078e-05,39.082428,0.29626065,-28.182789,0.007390884,39.097073,0.33064195123184664
3066,-28.764633,0.0070584295,39.097397,3.4586577e-05,39.082752,0.2966065,-28.16822,0.007398472,39.097397,0.33097993995190494
3067,-28.749973,0.0070658885,39.09772,3.462172e-05,39.08308,0.29695275,-28.15365,0.007406068,39.09772,0.3313180998921659
3068,-28.735312,0.0070733586,39.09804,3.4656525e-05,39.083405,0.29729483,-28.139082,0.007413665,39.09804,0.3316524259553244
3069,-28.720652,0.0070808334,39.098366,3.4692017e-05,39.083733,0.2976464,-28.124514,0.007421262,39.098366,0.33199087011986983
3070,-28.705996,0.0070883096,39.098694,3.472784e-05,39.08406,0.29799396,-28.10995,0.0074288636,39.098694,0.33233354954176264
3071,-28.691336,0.00709579,39.09902,3.4762972e-05,39.084385,0.29833725,-28.095379,0.007436473,39.09902,0.33267233681214536
3072,-28.676676,0.007103275,39.099342,3.4798457e-05,39.084713,0.29869014,-28.08081,0.0074440828,39.099342,0.33301135007333443
3073,-28.662014,0.007110761,39.099667,3.4833938e-05,39.08504,0.29903874,-28.06624,0.007451701,39.099667,0.33335047769791626
3074,-28.647354,0.0071182516,39.099987,3.486908e-05,39.085365,0.29938316,-28.05167,0.007459319,39.099987,0.33368581399389974
3075,-28.632694,0.0071257567,39.10031,3.4904384e-05,39.085693,0.29973713,-28.037102,0.007466942,39.10031,0.334025335049916
3076,-28.618034,0.007133256,39.100636,3.4940036e-05,39.086018,0.3000823,-28.022533,0.007474569,39.100636,0.3343650256830123
3077,-28.603373,0.0071407775,39.10096,3.497533e-05,39.08634,0.30042797,-28.007965,0.0074822004,39.10096,0.3347048298329069
3078,-28.588713,0.007148286,39.101284,3.50108e-05,39.08667,0.30078322,-27.993395,0.0074898354,39.101284,0.3350448590366307
3079,-28.574057,0.0071557956,39.101612,3.504678e-05,39.086998,0.3011342,-27.97883,0.0074974718,39.101612,0.3353890283554394
3080,-28.559399,0.0071633197,39.101933,3.508191e-05,39.087326,0.30148557,-27.964262,0.0075051156,39.101933,0.33572536836052613
3081,-28.544739,0.0071708383,39.102257,3.5117548e-05,39.08765,0.3018373,-27.949694,0.00751276,39.102257,0.33606590403809744
3082,-28.530079,0.007178375,39.10258,3.5153185e-05,39.08798,0.3021895,-27.935123,0.0075204084,39.10258,0.336406552161559
3083,-28.515417,0.007185906,39.102905,3.5188645e-05,39.088303,0.30253735,-27.920555,0.007528065,39.102905,0.336747424543149
3084,-28.500757,0.0071934415,39.10323,3.5224275e-05,39.08863,0.30289495,-27.905987,0.007535722,39.10323,0.33708846500840217
3085,-28.486097,0.0072009917,39.103554,3.5259905e-05,39.088955,0.30324337,-27.891417,0.007543383,39.103554,0.3374296172718933
3086,-28.471437,0.007208543,39.103878,3.5295532e-05,39.089283,0.3035971,-27.876848,0.007551049,39.103878,0.3377709933102464
3087,-28.456776,0.007216095,39.1042,3.5330817e-05,39.089607,0.30395108,-27.86228,0.0075587146,39.1042,0.3381084939503957
3088,-28.44212,0.007223645,39.104527,3.5366957e-05,39.089935,0.3043058,-27.847715,0.007566385,39.104527,0.33845419156592327
3089,-28.42746,0.007231203,39.10485,3.540258e-05,39.090263,0.30466044,-27.833147,0.007574063,39.10485,0.3387960695543524
3090,-28.4128,0.0072387788,39.105175,3.5438195e-05,39.090588,0.30501103,-27.818577,0.0075817415,39.105175,0.33913805825311155
3091,-28.39814,0.007246342,39.1055,3.5474164e-05,39.090916,0.30537137,-27.804008,0.0075894278,39.1055,0.33948026991155056
3092,-28.383478,0.0072539165,39.105824,3.5509776e-05,39.091244,0.30572724,-27.78944,0.0075971144,39.105824,0.33982264813104884
