,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
0,38.027798,1.5060078e-05,36.28363,5.1302584e-07,38.051804,0.0010100536,-72.83528,2.630126e-05,38.103813,0.0012251403473063003
1,38.02814,1.5095378e-05,36.284313,5.1597533e-07,38.052143,0.0010129017,-72.82071,2.6371159e-05,38.104137,0.0012283702942600004
2,38.028484,1.5130892e-05,36.285,5.189242e-07,38.05248,0.0010157333,-72.806145,2.6441143e-05,38.10446,0.0012316070431012509
3,38.028828,1.5166331e-05,36.285683,5.221022e-07,38.05282,0.0010185915,-72.79157,2.6511361e-05,38.104786,0.0012348527398920973
4,38.02917,1.52019675e-05,36.286366,5.2505044e-07,38.053158,0.0010214598,-72.77701,2.6581718e-05,38.10511,0.001238106338916958
5,38.029514,1.5237587e-05,36.287052,5.282275e-07,38.053497,0.0010243336,-72.76244,2.6652258e-05,38.105434,0.0012413678575693018
6,38.029858,1.5273494e-05,36.287735,5.314043e-07,38.053837,0.0010272221,-72.74787,2.6722963e-05,38.10576,0.0012446373132759061
7,38.0302,1.530931e-05,36.28842,5.345805e-07,38.054173,0.001030085,-72.7333,2.679388e-05,38.106083,0.0012479136448013157
8,38.030544,1.5345253e-05,36.289104,5.375272e-07,38.054512,0.0010329883,-72.718735,2.6864933e-05,38.106407,0.001251199024406744
9,38.030888,1.5381325e-05,36.289787,5.407029e-07,38.05485,0.0010358939,-72.70416,2.69362e-05,38.10673,0.0012544923935413688
10,38.03123,1.541735e-05,36.29047,5.438782e-07,38.055187,0.0010387875,-72.6896,2.700758e-05,38.10705,0.0012577546533379179
11,38.031574,1.545365e-05,36.291157,5.47282e-07,38.055527,0.001041715,-72.675026,2.70792e-05,38.107376,0.0012610639591763746
12,38.031918,1.5489963e-05,36.29184,5.504563e-07,38.055866,0.0010446431,-72.66046,2.7150934e-05,38.1077,0.0012643813071175171
13,38.03226,1.552633e-05,36.292522,5.536304e-07,38.056202,0.001047559,-72.64589,2.7222883e-05,38.108025,0.001267706714822315
14,38.032604,1.556277e-05,36.29321,5.568038e-07,38.05654,0.0010505157,-72.631325,2.729497e-05,38.108353,0.0012710786007655089
15,38.032948,1.5599411e-05,36.29389,5.602061e-07,38.05688,0.0010534764,-72.61675,2.73673e-05,38.108673,0.0012743806805219392
16,38.03329,1.5635991e-05,36.29458,5.6337876e-07,38.05722,0.0010564448,-72.60219,2.7439743e-05,38.108997,0.0012777303711510558
17,38.033634,1.5672718e-05,36.29526,5.667803e-07,38.057556,0.001059393,-72.587616,2.7512404e-05,38.10932,0.001281088192519547
18,38.033978,1.570962e-05,36.295944,5.7018144e-07,38.057896,0.0010623754,-72.57305,2.7585233e-05,38.109646,0.0012844541624574787
19,38.03432,1.5746547e-05,36.296627,5.7335296e-07,38.058235,0.0010653721,-72.55848,2.7658252e-05,38.10997,0.0012878271883015407
20,38.034664,1.578355e-05,36.297314,5.7675305e-07,38.05857,0.0010683408,-72.54391,2.773144e-05,38.110294,0.0012912095063111182
21,38.035007,1.5820697e-05,36.297997,5.801529e-07,38.05891,0.0010713639,-72.52934,2.7804796e-05,38.11062,0.001294600026578497
22,38.035347,1.5857553e-05,36.29868,5.8355226e-07,38.05925,0.0010743837,-72.51477,2.7878343e-05,38.110943,0.0012979987670699465
23,38.035694,1.5895193e-05,36.299366,5.86951e-07,38.05959,0.0010774116,-72.500206,2.7952032e-05,38.111267,0.0013014057457859185
24,38.036037,1.5932514e-05,36.30005,5.903496e-07,38.05993,0.0010804549,-72.48564,2.8025917e-05,38.11159,0.0013048209807611014
25,38.03638,1.596995e-05,36.300735,5.9397655e-07,38.060265,0.001083472,-72.47107,2.8100023e-05,38.111916,0.001308243363288947
26,38.036724,1.6007583e-05,36.30142,5.973743e-07,38.060604,0.0010865264,-72.4565,2.81743e-05,38.11224,0.0013116751622948525
27,38.037067,1.6045304e-05,36.3021,6.0077144e-07,38.060944,0.0010895925,-72.44193,2.8248716e-05,38.112564,0.0013151152718639903
28,38.03741,1.6083006e-05,36.302788,6.0439703e-07,38.06128,0.0010926335,-72.42736,2.8323358e-05,38.11289,0.0013185637101684948
29,38.03775,1.6120412e-05,36.30347,6.077935e-07,38.06162,0.0010957168,-72.412796,2.8398143e-05,38.11321,0.0013219795378375118
30,38.038094,1.6158507e-05,36.304153,6.1141833e-07,38.06196,0.0010988035,-72.398224,2.8473152e-05,38.113533,0.0013254445891641405
31,38.038437,1.6196429e-05,36.304836,6.150428e-07,38.062294,0.0011018754,-72.38366,2.8548306e-05,38.113857,0.001328916880527804
32,38.038784,1.6234904e-05,36.305523,6.1866655e-07,38.062637,0.0011050194,-72.36909,2.8623657e-05,38.114185,0.001332439969388227
33,38.039127,1.6273192e-05,36.306206,6.2206135e-07,38.062973,0.001108101,-72.35452,2.869918e-05,38.11451,0.0013359303223897461
34,38.03947,1.6311507e-05,36.306892,6.2591306e-07,38.063313,0.0011112333,-72.33995,2.877493e-05,38.11483,0.0013393876586508579
35,38.039814,1.6350008e-05,36.307575,6.295356e-07,38.063652,0.0011143684,-72.325386,2.8850796e-05,38.115154,0.0013428948068542324
36,38.040157,1.6388394e-05,36.308258,6.331578e-07,38.063988,0.0011174844,-72.310814,2.892692e-05,38.11548,0.0013464092731023192
37,38.040497,1.6426622e-05,36.308945,6.367793e-07,38.064327,0.0011206323,-72.29625,2.9003186e-05,38.115803,0.0013499333872626122
38,38.04084,1.6465125e-05,36.309628,6.404005e-07,38.064667,0.0011238005,-72.28168,2.9079656e-05,38.116127,0.001353466013553874
39,38.041183,1.6504018e-05,36.31031,6.442502e-07,38.065002,0.0011269454,-72.267105,2.9156325e-05,38.11645,0.0013570071705301151
40,38.041527,1.6543021e-05,36.310993,6.478706e-07,38.065342,0.0011301251,-72.25254,2.9233142e-05,38.116776,0.0013605568767804145
41,38.041874,1.6582382e-05,36.31168,6.51719e-07,38.06568,0.0011333093,-72.237976,2.9310133e-05,38.1171,0.0013641151509289743
42,38.042217,1.662133e-05,36.312366,6.5556696e-07,38.06602,0.0011365196,-72.223404,2.9387356e-05,38.117424,0.0013676808376842178
43,38.04256,1.666053e-05,36.31305,6.594146e-07,38.066357,0.0011396949,-72.20884,2.9464725e-05,38.11775,0.001371256300810765
44,38.0429,1.669936e-05,36.313732,6.6326186e-07,38.066696,0.0011429219,-72.19427,2.9542354e-05,38.118073,0.0013748403879132731
45,38.043243,1.6738823e-05,36.314415,6.6710845e-07,38.067036,0.0011461478,-72.179695,2.962013e-05,38.118397,0.0013784331177569475
46,38.043587,1.6778218e-05,36.3151,6.709545e-07,38.06737,0.0011493444,-72.16513,2.9698085e-05,38.11872,0.0013820345091423787
47,38.04393,1.6817852e-05,36.315784,6.7480033e-07,38.06771,0.0011525975,-72.15056,2.9776244e-05,38.119045,0.0013856433927343897
48,38.044273,1.6857497e-05,36.316467,6.786456e-07,38.06805,0.0011558594,-72.135994,2.985458e-05,38.119366,0.0013892192842866469
49,38.044617,1.6897126e-05,36.317154,6.8271885e-07,38.068386,0.001159082,-72.12142,2.9933122e-05,38.11969,0.001392846667302439
50,38.044964,1.693749e-05,36.317837,6.865631e-07,38.06873,0.0011624057,-72.10686,3.0011814e-05,38.120018,0.0013965258705766102
51,38.045303,1.6977063e-05,36.318523,6.906353e-07,38.069065,0.0011656549,-72.092285,3.009077e-05,38.120342,0.001400170850040371
52,38.045647,1.7017037e-05,36.319206,6.9447873e-07,38.069405,0.0011689452,-72.07772,3.0169847e-05,38.120667,0.0014038234020425616
53,38.04599,1.705717e-05,36.31989,6.985501e-07,38.069744,0.0011722537,-72.06315,3.024916e-05,38.12099,0.0014074859478322584
54,38.046333,1.7097509e-05,36.320576,7.0262075e-07,38.07008,0.0011755307,-72.048584,3.0328625e-05,38.12131,0.0014111138071944596
55,38.046677,1.713783e-05,36.32126,7.0669125e-07,38.07042,0.0011788526,-72.03401,3.0408328e-05,38.121635,0.001414793893897272
56,38.04702,1.7178314e-05,36.32194,7.107612e-07,38.07076,0.0011821965,-72.01945,3.0488181e-05,38.12196,0.0014184828318660812
57,38.047363,1.7218761e-05,36.322624,7.148305e-07,38.071095,0.0011855006,-72.004875,3.0568244e-05,38.122284,0.001422180640293768
58,38.047707,1.7259466e-05,36.32331,7.191277e-07,38.071434,0.0011888511,-71.9903,3.064855e-05,38.12261,0.0014258873384092382
59,38.04805,1.730022e-05,36.323994,7.2319614e-07,38.071774,0.0011922141,-71.97574,3.0728974e-05,38.122932,0.0014296017225759229
60,38.048393,1.7340955e-05,36.32468,7.2726374e-07,38.072113,0.0011955866,-71.961174,3.080961e-05,38.123257,0.0014333262549598574
61,38.048737,1.7382e-05,36.325363,7.3155945e-07,38.072453,0.0011989687,-71.9466,3.089049e-05,38.12358,0.0014370597349285929
62,38.04908,1.7422926e-05,36.326046,7.358548e-07,38.07279,0.0012023286,-71.93204,3.097152e-05,38.123905,0.0014408021818556457
63,38.049423,1.7464183e-05,36.326733,7.3992084e-07,38.073128,0.001205729,-71.917465,3.1052765e-05,38.12423,0.0014445536151508204
64,38.049767,1.7505403e-05,36.327415,7.442152e-07,38.073467,0.001209149,-71.90289,3.1134223e-05,38.124554,0.0014483128166050978
65,38.05011,1.7546787e-05,36.3281,7.4850874e-07,38.073803,0.0012125289,-71.88833,3.1215834e-05,38.124878,0.0014520822780412605
66,38.050453,1.7588234e-05,36.32878,7.52802e-07,38.074142,0.0012159522,-71.87376,3.1297655e-05,38.125202,0.0014558607842868148
67,38.050797,1.7629765e-05,36.329468,7.570943e-07,38.07448,0.0012193598,-71.85919,3.1379666e-05,38.125526,0.001459648354897249
68,38.05114,1.7671426e-05,36.330154,7.616145e-07,38.07482,0.0012228546,-71.84463,3.1461892e-05,38.12585,0.0014634450094646108
69,38.051483,1.7713135e-05,36.330837,7.6590595e-07,38.075157,0.0012262766,-71.830055,3.1544332e-05,38.126175,0.0014672507676175587
70,38.051826,1.775501e-05,36.33152,7.7042534e-07,38.075497,0.0012297478,-71.81548,3.1626987e-05,38.1265,0.0014710643934500534
71,38.05217,1.7797036e-05,36.332203,7.7471583e-07,38.075836,0.0012332269,-71.80092,3.170977e-05,38.126823,0.0014748884147980543
72,38.052513,1.783916e-05,36.33289,7.792338e-07,38.07617,0.0012366839,-71.78635,3.1792828e-05,38.127148,0.001478721598831335
73,38.052856,1.7881197e-05,36.333572,7.837514e-07,38.07651,0.0012401926,-71.77178,3.1876014e-05,38.12747,0.0014825184397648794
74,38.0532,1.7923574e-05,36.334255,7.8826855e-07,38.07685,0.001243702,-71.75721,3.1959476e-05,38.127792,0.0014863698995138698
75,38.053543,1.7965911e-05,36.33494,7.927848e-07,38.077187,0.0012471864,-71.742645,3.204307e-05,38.128117,0.0014902305811506208
76,38.053886,1.8008472e-05,36.335625,7.9730063e-07,38.077526,0.0012507216,-71.72807,3.2126907e-05,38.12844,0.0014940992308762537
77,38.05423,1.8050992e-05,36.33631,8.0181576e-07,38.077866,0.0012542608,-71.71351,3.2210937e-05,38.12877,0.0014980243759472498
78,38.054573,1.8093788e-05,36.336994,8.065589e-07,38.078205,0.0012578131,-71.69894,3.2295186e-05,38.12909,0.001501866876645527
79,38.054916,1.8136545e-05,36.337677,8.110732e-07,38.078545,0.0012613779,-71.68437,3.2379594e-05,38.129414,0.0015057646420030323
80,38.05526,1.8179491e-05,36.33836,8.155868e-07,38.07888,0.0012649207,-71.6698,3.2464253e-05,38.129738,0.0015096717290427036
81,38.055603,1.8222468e-05,36.339046,8.2032784e-07,38.07922,0.0012685031,-71.655235,3.254907e-05,38.130062,0.001513586868847196
82,38.055946,1.8265688e-05,36.33973,8.2506864e-07,38.07956,0.0012720955,-71.64066,3.263414e-05,38.130386,0.001517512656422926
