alpha,epsilon,method,metric,value,mu0,sigma0,true_theta,sigma,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5
1.0,inf,ABC,C2ST,0.9953500032424927,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_stat,115.46449712399676,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,C2ST,0.5239499807357788,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_stat,6.564839489419175,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_pvalue,5.208894059770088e-11,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,C2ST,0.5209500193595886,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_stat,5.672992772002089,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_pvalue,1.4032415265940201e-08,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,C2ST,0.9955499768257141,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_stat,116.8419038522362,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_METRICS,8.84332799911499,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TRAIN_ACCURACY,0.97906494140625,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TEST_ACCURACY,0.9795608520507812,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,C2ST,0.5262500047683716,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_stat,-7.333139482329525,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_pvalue,2.248227282731817e-13,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
