alpha,epsilon,method,metric,metric_value,sigma,mu0,sigma0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_EVAL,8.84332799911499,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TRAIN_ACCURACY,0.97906494140625,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TEST_ACCURACY,0.9795608520507812,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,C2ST,0.9950000047683716,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,RS_stat,115.38602478289123,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,C2ST,0.5349000096321106,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,RS_stat,-8.219139413898407,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,RS_pvalue,2.04968660306211e-16,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,C2ST,0.5306000113487244,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,RS_stat,-7.148246820844039,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,RS_pvalue,8.789317343360909e-13,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_SIMULATION,0.6357169151306152,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_TRAINING,244.59030079841614,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_EVAL,7.56214714050293,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TRAIN_ACCURACY,0.9765205383300781,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TEST_ACCURACY,0.9760093688964844,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,C2ST,0.9934499859809875,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,RS_stat,115.10106194443236,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,C2ST,0.5129500031471252,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,RS_stat,4.136190708329491,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,RS_pvalue,3.531187555401381e-05,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,C2ST,0.5084499716758728,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,RS_stat,3.1837316577717516,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,RS_pvalue,0.0014538972465470842,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_SIMULATION,0.6469697952270508,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_TRAINING,212.4310200214386,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_EVAL,7.137663125991821,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TRAIN_ACCURACY,0.9722480773925781,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TEST_ACCURACY,0.9718246459960938,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,C2ST,0.9908000230789185,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,RS_stat,111.60831895911181,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,C2ST,0.5212500095367432,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,RS_stat,-6.527445289104297,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,RS_pvalue,6.69009322725276e-11,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,C2ST,0.511900007724762,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,RS_stat,-4.107616900071331,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,RS_pvalue,3.9976245815658225e-05,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_SIMULATION,0.6851711273193359,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_TRAINING,224.88661813735962,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_EVAL,7.447979211807251,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TRAIN_ACCURACY,0.9633598327636719,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TEST_ACCURACY,0.9629783630371094,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,C2ST,0.9843500256538391,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,RS_stat,99.58843684631779,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,C2ST,0.5191500186920166,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,RS_stat,-6.4447035941096,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,RS_pvalue,1.1582655499049656e-10,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,C2ST,0.508400022983551,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,RS_stat,-4.753485883160265,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,RS_pvalue,1.9993907085549866e-06,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_SIMULATION,0.5961811542510986,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_TRAINING,215.28737688064575,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_EVAL,7.317981243133545,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TRAIN_ACCURACY,0.9538459777832031,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TEST_ACCURACY,0.9528236389160156,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,C2ST,0.962149977684021,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,RS_stat,73.73709611647662,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,C2ST,0.5010499954223633,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,RS_stat,-1.2432233604374168,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,RS_pvalue,0.21378553667652123,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,CORRECTED_NRE,C2ST,0.5052499771118164,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,CORRECTED_NRE,RS_stat,-1.213052524792148,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,CORRECTED_NRE,RS_pvalue,0.2251097394429723,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_SIMULATION,0.7157618999481201,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_TRAINING,205.97215795516968,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_EVAL,6.624601125717163,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,NN_TRAIN_ACCURACY,0.9395484924316406,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,NN_TEST_ACCURACY,0.9391212463378906,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ABC,C2ST,0.9308000206947327,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ABC,RS_stat,44.21375465011169,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ABC,RS_pvalue,0.0,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,NRE,C2ST,0.5109000205993652,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,NRE,RS_stat,-3.6208015571387215,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,NRE,RS_pvalue,0.0002936917181301324,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,CORRECTED_NRE,C2ST,0.5149999856948853,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,CORRECTED_NRE,RS_stat,-4.962766279584019,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,CORRECTED_NRE,RS_pvalue,6.949619147156786e-07,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ALL,TIME_SIMULATION,0.7022027969360352,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ALL,TIME_TRAINING,207.05703020095825,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ALL,TIME_EVAL,7.232022047042847,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ALL,NN_TRAIN_ACCURACY,0.9208908081054688,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.05,70.14465,ALL,NN_TEST_ACCURACY,0.9210472106933594,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,ABC,C2ST,0.7473499774932861,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,ABC,RS_stat,10.476324525296814,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,ABC,RS_pvalue,1.1097310906549204e-25,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,NRE,C2ST,0.5141000151634216,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,NRE,RS_stat,0.04305605431073962,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,NRE,RS_pvalue,0.9656568503688271,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,CORRECTED_NRE,C2ST,0.517300009727478,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
0.01,3.3594604,CORRECTED_NRE,RS_stat,-2.026139093254024,1.0,0.0,20.0,100,7,256,256,1024,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,38.541805,37.952957,42.04734,41.16841,39.024162
