,grid_nre,pdf_nre,grid_pseudo,pdf_pseudo,grid_nre_corrected,pdf_nre_corrected,grid_prior,pdf_prior,grid_true,pdf_true
4037,39.413574,0.8790216,-14.022192,0.015600565,39.413574,0.8804719,-14.022192,0.015600566,39.41206,0.6961583913335103
4038,39.413918,0.87925047,-14.007627,0.015608529,39.413918,0.8807015,-14.007627,0.015608528,39.412388,0.6965182158583653
4039,39.41426,0.8794773,-13.993058,0.01561649,39.41426,0.88092804,-13.993058,0.015616493,39.412712,0.696873645624617
4040,39.414604,0.879703,-13.978489,0.015624447,39.414604,0.8811543,-13.978489,0.015624449,39.413036,0.6972288900718245
4041,39.414948,0.8799278,-13.963921,0.015632398,39.414948,0.88137925,-13.963921,0.0156324,39.41336,0.6975839779062117
4042,39.41529,0.8801511,-13.949351,0.015640348,39.41529,0.8816033,-13.949351,0.015640348,39.413685,0.6979388502953626
4043,39.415634,0.8803752,-13.934782,0.015648292,39.415634,0.8818271,-13.934782,0.015648292,39.414005,0.6982893683900588
4044,39.415977,0.88059646,-13.920214,0.015656231,39.415977,0.88204855,-13.920214,0.015656235,39.41433,0.6986438690667195
4045,39.41632,0.8808186,-13.9056425,0.01566417,39.41632,0.8822709,-13.9056425,0.015664171,39.414654,0.6989981820891951
4046,39.416664,0.88103914,-13.891074,0.015672099,39.416664,0.8824917,-13.891074,0.015672099,39.414978,0.699352336087151
4047,39.417007,0.8812581,-13.87651,0.015680024,39.417007,0.8827108,-13.87651,0.015680023,39.415306,0.6997104311084055
