alpha,epsilon,method,metric,metric_value,SIGMA,MU0,SIGMA0,N_EPOCH,NUM_LAYERS,HIDDEN_SIZE,BATCH_SIZE,NUM_BATCH,LEARNING_RATE,WDECAY,PATIENCE,COOLDOWN,FACTOR,RTOL,ACCUMULATION_SIZE,LEARNING_RATE_MIN,true_theta_1,index_marginal,xobs_1
1.0,inf,ALL,TIME_EVAL,24.07037377357483,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ALL,NN_TRAIN_ACCURACY,"[0.48374495, 0.8104839, 0.93346775, 0.94090223, 0.94871473, 0.9513609, 0.953125, 0.9548891, 0.952873, 0.9551411, 0.95551914, 0.95602316, 0.95602316, 0.95753527, 0.95841736, 0.9562752, 0.9545111, 0.9548891, 0.95690525, 0.9562752, 0.95829135, 0.95803934, 0.9546371, 0.9463206, 0.952369, 0.9547631, 0.95841736, 0.95589715, 0.952495, 0.9564012, 0.9576613, 0.95803934, 0.95879537, 0.9577873, 0.95665324, 0.9548891, 0.9551411, 0.9576613, 0.95879537, 0.9542591, 0.95589715, 0.95539314, 0.9579133, 0.9547631, 0.9577873, 0.9561492, 0.9541331, 0.95551914, 0.95841736, 0.95715725, 0.95577115, 0.9579133, 0.95715725, 0.95740926, 0.9576613, 0.9564012, 0.95728326, 0.95577115, 0.95577115, 0.95803934, 0.9577873, 0.9579133, 0.9562752, 0.95728326, 0.95740926, 0.9542591, 0.95589715, 0.95715725, 0.95677924, 0.95703125, 0.95879537, 0.95715725, 0.95829135, 0.95703125, 0.95740926, 0.95715725, 0.9589214, 0.95866936, 0.95866936, 0.95866936, 0.9590474, 0.95854336, 0.9561492, 0.95854336, 0.9595514, 0.9561492, 0.95577115, 0.95652723, 0.95551914, 0.95740926, 0.95740926, 0.95526713, 0.95703125, 0.9561492, 0.95589715, 0.9577873, 0.9561492, 0.95829135, 0.95829135, 0.95728326, 0.95703125, 0.9545111, 0.95652723, 0.9589214, 0.95803934, 0.95829135, 0.9589214, 0.95879537, 0.95816535, 0.9579133, 0.95677924, 0.9579133, 0.95753527, 0.95829135, 0.95677924, 0.9592994, 0.95841736, 0.95879537, 0.95753527, 0.9576613, 0.9579133, 0.95803934, 0.95866936, 0.95816535, 0.95841736, 0.95866936, 0.95803934, 0.95728326, 0.9590474, 0.95803934, 0.95829135, 0.9589214, 0.9606855, 0.95879537, 0.9589214, 0.9591734, 0.9589214, 0.95740926, 0.9603075, 0.95816535, 0.9592994, 0.9599294, 0.9591734, 0.9591734, 0.9598034, 0.9595514, 0.9594254, 0.9595514, 0.9596774, 0.95829135, 0.9592994, 0.95803934, 0.95665324, 0.95803934, 0.9599294, 0.9589214, 0.95829135, 0.95866936, 0.95841736, 0.9591734, 0.9592994, 0.9592994, 0.9600555, 0.95879537, 0.9595514, 0.95841736, 0.95866936, 0.95816535, 0.9595514, 0.9589214, 0.9590474, 0.9594254, 0.9576613, 0.95816535, 0.9594254, 0.9590474, 0.95829135, 0.9595514, 0.9603075, 0.95854336, 0.9579133, 0.9590474, 0.9604335, 0.95879537, 0.9591734, 0.9599294, 0.9595514, 0.9594254, 0.9598034, 0.9599294, 0.9603075, 0.9601815, 0.9600555, 0.95854336, 0.9595514, 0.9594254, 0.9606855, 0.9590474, 0.9592994, 0.9598034, 0.95841736, 0.9592994, 0.9592994, 0.95879537, 0.9596774, 0.95879537, 0.9596774, 0.9596774, 0.9594254, 0.9598034, 0.9592994, 0.9594254, 0.95829135, 0.9596774, 0.9590474, 0.9596774, 0.9595514, 0.9590474, 0.9595514, 0.9599294, 0.9613155, 0.9590474, 0.9596774, 0.9589214, 0.9603075, 0.95854336, 0.9596774, 0.95829135, 0.9590474, 0.9595514, 0.9590474, 0.95866936, 0.95866936, 0.9592994, 0.95854336, 0.9598034, 0.9598034, 0.9598034, 0.9595514, 0.9599294, 0.9589214, 0.9601815, 0.9598034, 0.9600555, 0.9599294, 0.95879537, 0.9592994, 0.9599294, 0.9601815, 0.9600555, 0.9599294, 0.9601815, 0.9603075, 0.9599294, 0.9595514, 0.9603075, 0.9598034, 0.9596774, 0.9601815, 0.9596774, 0.9603075, 0.9598034, 0.9598034, 0.9589214, 0.9592994, 0.9603075, 0.9601815, 0.9605595, 0.9610635, 0.9605595, 0.9598034, 0.9590474, 0.9591734, 0.9598034, 0.9598034, 0.9595514, 0.9594254, 0.9590474, 0.9603075, 0.9603075, 0.9595514, 0.9600555, 0.9590474, 0.9596774, 0.9590474, 0.9599294, 0.9595514, 0.9603075, 0.9594254, 0.9604335, 0.9592994, 0.9604335, 0.9595514, 0.9598034, 0.9599294, 0.9600555, 0.9603075, 0.9589214, 0.9595514, 0.9599294, 0.9598034, 0.9600555, 0.9598034, 0.9595514, 0.9594254, 0.9600555, 0.9590474, 0.9601815, 0.9592994, 0.9599294, 0.9600555, 0.9596774, 0.9596774, 0.9592994, 0.9604335, 0.9594254, 0.9599294, 0.9603075, 0.9599294, 0.9601815, 0.9596774, 0.9599294, 0.9592994, 0.9596774, 0.9601815, 0.9599294, 0.9601815, 0.9596774, 0.9601815, 0.9599294, 0.9600555, 0.9594254, 0.9603075, 0.9595514, 0.9596774, 0.9604335, 0.9598034, 0.9594254, 0.9596774, 0.9600555, 0.9595514, 0.9594254, 0.9603075, 0.9603075, 0.9601815, 0.9596774, 0.9605595, 0.9604335, 0.9598034, 0.9596774, 0.9598034, 0.9604335, 0.9600555, 0.9601815, 0.9603075, 0.9596774, 0.9600555, 0.9591734, 0.9603075, 0.9600555, 0.9603075, 0.9601815, 0.9600555, 0.9603075, 0.9600555, 0.9595514, 0.9596774, 0.9595514, 0.9598034, 0.9601815, 0.9604335, 0.9608115, 0.9600555, 0.9599294, 0.9598034, 0.9599294, 0.9596774, 0.9613155, 0.9604335, 0.9603075, 0.9598034, 0.9598034, 0.9609375, 0.9591734, 0.9598034, 0.9594254, 0.9595514, 0.9604335, 0.9599294, 0.9595514, 0.9600555, 0.9601815, 0.9605595, 0.9606855, 0.9601815, 0.9599294, 0.9599294, 0.9604335, 0.9601815, 0.9605595, 0.9596774, 0.9604335, 0.9601815, 0.9599294, 0.9599294, 0.9600555, 0.9595514, 0.9598034, 0.9604335, 0.9603075, 0.9594254, 0.9599294, 0.9595514, 0.9603075, 0.9592994, 0.9601815, 0.9600555, 0.9604335, 0.9601815, 0.9596774, 0.9598034, 0.9600555, 0.9594254, 0.9600555, 0.9600555, 0.9603075, 0.9595514, 0.9601815, 0.9598034, 0.9600555, 0.9596774, 0.9599294, 0.9601815, 0.9601815, 0.9596774, 0.9599294, 0.9604335, 0.9596774, 0.9598034, 0.9603075, 0.9599294, 0.9600555, 0.9600555, 0.9596774, 0.9598034, 0.9599294, 0.9605595, 0.9600555, 0.9598034, 0.9603075, 0.9596774, 0.9600555, 0.9598034, 0.9599294, 0.9601815, 0.9598034, 0.9598034, 0.9601815, 0.9600555, 0.9601815, 0.9604335, 0.9598034, 0.9604335, 0.9603075, 0.9598034, 0.9605595, 0.9600555, 0.9601815, 0.9598034, 0.9598034, 0.9599294, 0.9606855, 0.9599294, 0.9600555, 0.9599294, 0.9603075, 0.9600555, 0.9600555, 0.9592994, 0.9604335, 0.9594254, 0.9594254, 0.9601815, 0.9604335, 0.9596774, 0.9598034, 0.9601815, 0.9604335, 0.9603075, 0.9601815, 0.9601815, 0.9596774, 0.9600555, 0.9600555, 0.9600555, 0.9604335, 0.9599294, 0.9598034, 0.9599294, 0.9599294, 0.9604335, 0.9599294, 0.9595514, 0.9596774, 0.9600555, 0.9606855, 0.9599294, 0.9601815, 0.9603075, 0.9603075, 0.9598034, 0.9599294, 0.9598034, 0.9599294, 0.9598034, 0.9605595, 0.9595514, 0.9601815, 0.9598034, 0.9604335, 0.9603075, 0.9601815, 0.9599294, 0.9600555, 0.9596774, 0.9604335, 0.9604335, 0.9599294, 0.9603075, 0.9599294, 0.9606855, 0.9601815, 0.9595514, 0.9599294, 0.9599294, 0.9599294, 0.9599294, 0.9600555, 0.9598034, 0.9598034, 0.9601815, 0.9596774, 0.9601815, 0.9599294, 0.9599294, 0.9599294, 0.9599294, 0.9596774, 0.9603075, 0.9598034, 0.9601815, 0.9599294, 0.9601815, 0.9598034, 0.9599294, 0.9600555, 0.9599294, 0.9595514, 0.9596774, 0.9605595, 0.9599294, 0.9596774, 0.9598034, 0.9601815, 0.9600555, 0.9603075, 0.9596774, 0.9598034, 0.9598034, 0.9598034, 0.9596774, 0.9599294, 0.9599294, 0.9598034, 0.9604335, 0.9600555, 0.9599294, 0.9600555, 0.9601815, 0.9604335, 0.9600555, 0.9598034, 0.9605595, 0.9598034, 0.9599294, 0.9600555, 0.9601815, 0.9596774, 0.9599294, 0.9600555, 0.9599294, 0.9601815, 0.9603075, 0.9598034, 0.9598034, 0.9601815, 0.9598034, 0.9603075, 0.9599294, 0.9599294, 0.9600555, 0.9598034, 0.9601815, 0.9598034, 0.9604335, 0.9600555, 0.9598034, 0.9599294, 0.9601815, 0.9603075, 0.9598034, 0.9599294, 0.9598034, 0.9598034, 0.9599294, 0.9598034, 0.9599294, 0.9599294, 0.9596774, 0.9601815, 0.9598034, 0.9600555, 0.9599294, 0.9598034, 0.9599294, 0.9600555, 0.9601815, 0.9599294, 0.9599294, 0.9601815, 0.9603075, 0.9599294, 0.9598034, 0.9600555, 0.9596774, 0.9599294, 0.9596774, 0.9598034, 0.9600555, 0.9600555, 0.9604335, 0.9598034, 0.9600555, 0.9599294, 0.9600555, 0.9601815, 0.9598034, 0.9599294, 0.9598034, 0.9600555, 0.9600555, 0.9599294, 0.9598034, 0.9599294, 0.9598034, 0.9600555, 0.9601815, 0.9601815, 0.9599294, 0.9599294, 0.9598034, 0.9600555, 0.9598034, 0.9599294, 0.9603075, 0.9599294, 0.9604335, 0.9603075, 0.9599294, 0.9599294, 0.9600555, 0.9596774, 0.9600555, 0.9600555, 0.9601815, 0.9601815, 0.9601815, 0.9600555, 0.9600555]",1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
1.0,inf,ALL,NN_TEST_ACCURACY,"[0.45814732, 0.90959823, 0.9358259, 0.94029015, 0.93973213, 0.94977677, 0.9469866, 0.94921875, 0.9514509, 0.9514509, 0.95591515, 0.95647323, 0.952567, 0.95647323, 0.952567, 0.95089287, 0.94977677, 0.953125, 0.95089287, 0.9547991, 0.9542411, 0.95033485, 0.9453125, 0.9453125, 0.94084823, 0.952567, 0.953683, 0.94754463, 0.952567, 0.94810265, 0.95535713, 0.953683, 0.9547991, 0.952567, 0.953683, 0.95535713, 0.94977677, 0.94810265, 0.94977677, 0.95814735, 0.952567, 0.94866073, 0.9520089, 0.952567, 0.95647323, 0.9547991, 0.95089287, 0.953125, 0.95703125, 0.94810265, 0.9514509, 0.9514509, 0.953125, 0.94866073, 0.94810265, 0.9520089, 0.953125, 0.95703125, 0.95814735, 0.95089287, 0.95647323, 0.94977677, 0.9547991, 0.95814735, 0.9514509, 0.953125, 0.9547991, 0.9514509, 0.953683, 0.95535713, 0.9547991, 0.95814735, 0.95647323, 0.9547991, 0.9547991, 0.95814735, 0.94977677, 0.95591515, 0.9514509, 0.953125, 0.952567, 0.95535713, 0.953683, 0.953125, 0.953683, 0.95870537, 0.9514509, 0.9453125, 0.95089287, 0.953683, 0.953683, 0.952567, 0.953125, 0.94921875, 0.952567, 0.95535713, 0.953125, 0.9542411, 0.95814735, 0.9598214, 0.953683, 0.953125, 0.94977677, 0.95703125, 0.95703125, 0.9520089, 0.953683, 0.952567, 0.95591515, 0.95647323, 0.95535713, 0.95647323, 0.95535713, 0.94921875, 0.9542411, 0.95758927, 0.95647323, 0.95033485, 0.952567, 0.9520089, 0.95033485, 0.95591515, 0.94810265, 0.953683, 0.95647323, 0.95591515, 0.9542411, 0.95758927, 0.9547991, 0.952567, 0.95703125, 0.953125, 0.95535713, 0.953683, 0.95591515, 0.95591515, 0.95591515, 0.9547991, 0.9520089, 0.95591515, 0.9547991, 0.953125, 0.95591515, 0.95814735, 0.95535713, 0.95591515, 0.953125, 0.9547991, 0.9542411, 0.95758927, 0.9514509, 0.95591515, 0.94921875, 0.953125, 0.952567, 0.9542411, 0.95758927, 0.953125, 0.95703125, 0.9547991, 0.95591515, 0.95591515, 0.95870537, 0.95033485, 0.95591515, 0.95870537, 0.95703125, 0.94977677, 0.95591515, 0.95535713, 0.9542411, 0.95647323, 0.9603795, 0.9542411, 0.95647323, 0.953125, 0.95647323, 0.95647323, 0.9542411, 0.953683, 0.953125, 0.95703125, 0.95535713, 0.95591515, 0.95703125, 0.95591515, 0.9520089, 0.95647323, 0.95535713, 0.95647323, 0.95703125, 0.95535713, 0.95535713, 0.9547991, 0.95703125, 0.953683, 0.9592634, 0.9547991, 0.95647323, 0.953683, 0.95758927, 0.95591515, 0.95591515, 0.95535713, 0.95870537, 0.95535713, 0.9547991, 0.9547991, 0.95591515, 0.95703125, 0.95591515, 0.952567, 0.9542411, 0.9547991, 0.95758927, 0.9598214, 0.95591515, 0.95535713, 0.95647323, 0.95591515, 0.953125, 0.953683, 0.95591515, 0.9514509, 0.95647323, 0.952567, 0.95703125, 0.9520089, 0.9547991, 0.953125, 0.95703125, 0.9547991, 0.95535713, 0.95591515, 0.952567, 0.95535713, 0.953125, 0.95647323, 0.95647323, 0.95535713, 0.953125, 0.953683, 0.953125, 0.95758927, 0.95591515, 0.95647323, 0.95703125, 0.95591515, 0.95535713, 0.9598214, 0.953125, 0.95647323, 0.9514509, 0.95647323, 0.9547991, 0.95703125, 0.953683, 0.95591515, 0.953125, 0.95758927, 0.95647323, 0.95591515, 0.9547991, 0.9542411, 0.9542411, 0.95535713, 0.95535713, 0.95591515, 0.95703125, 0.95814735, 0.95758927, 0.95703125, 0.9542411, 0.952567, 0.95535713, 0.9542411, 0.95758927, 0.95535713, 0.9547991, 0.95703125, 0.95535713, 0.95647323, 0.95703125, 0.95647323, 0.9542411, 0.95535713, 0.9547991, 0.95535713, 0.953683, 0.9542411, 0.95591515, 0.95535713, 0.95703125, 0.95703125, 0.95591515, 0.95591515, 0.953683, 0.95758927, 0.9542411, 0.95814735, 0.95591515, 0.9542411, 0.95703125, 0.95535713, 0.95703125, 0.95758927, 0.9592634, 0.95535713, 0.95647323, 0.95647323, 0.95647323, 0.95647323, 0.95535713, 0.95535713, 0.95703125, 0.9547991, 0.95535713, 0.95703125, 0.95647323, 0.953683, 0.95703125, 0.95703125, 0.95647323, 0.95758927, 0.95647323, 0.9520089, 0.95703125, 0.95870537, 0.95591515, 0.95870537, 0.9609375, 0.9542411, 0.95591515, 0.95703125, 0.952567, 0.95647323, 0.9542411, 0.95814735, 0.95647323, 0.9592634, 0.95758927, 0.95647323, 0.9542411, 0.95814735, 0.9547991, 0.953125, 0.9592634, 0.95870537, 0.9592634, 0.95535713, 0.95591515, 0.9592634, 0.95591515, 0.9542411, 0.95703125, 0.95870537, 0.95647323, 0.95703125, 0.9547991, 0.95591515, 0.9547991, 0.95703125, 0.95703125, 0.9542411, 0.95870537, 0.95591515, 0.95703125, 0.95814735, 0.9547991, 0.953125, 0.95758927, 0.9542411, 0.95535713, 0.95703125, 0.95758927, 0.95647323, 0.95814735, 0.95814735, 0.95647323, 0.95870537, 0.95647323, 0.9547991, 0.95591515, 0.95703125, 0.9592634, 0.95758927, 0.95647323, 0.95591515, 0.95703125, 0.95535713, 0.9542411, 0.9592634, 0.9547991, 0.95591515, 0.95591515, 0.953683, 0.95591515, 0.95703125, 0.9547991, 0.95814735, 0.95591515, 0.95647323, 0.95758927, 0.95703125, 0.95535713, 0.95703125, 0.95647323, 0.9542411, 0.95647323, 0.95535713, 0.95814735, 0.9592634, 0.95535713, 0.95870537, 0.95535713, 0.953683, 0.95591515, 0.95535713, 0.95591515, 0.95647323, 0.95535713, 0.95758927, 0.95647323, 0.9592634, 0.9598214, 0.95535713, 0.9592634, 0.95870537, 0.952567, 0.95814735, 0.9542411, 0.95591515, 0.95814735, 0.95758927, 0.95535713, 0.95703125, 0.9547991, 0.95647323, 0.95535713, 0.95591515, 0.95870537, 0.95703125, 0.9542411, 0.95535713, 0.95758927, 0.95535713, 0.95758927, 0.9542411, 0.95535713, 0.95758927, 0.95535713, 0.95870537, 0.95591515, 0.9609375, 0.95758927, 0.95647323, 0.95591515, 0.95758927, 0.95591515, 0.95758927, 0.95591515, 0.95647323, 0.95535713, 0.95647323, 0.9547991, 0.95647323, 0.95647323, 0.95703125, 0.95647323, 0.9547991, 0.95758927, 0.9542411, 0.95535713, 0.95814735, 0.95535713, 0.95703125, 0.95758927, 0.95758927, 0.95814735, 0.95758927, 0.95703125, 0.95647323, 0.95870537, 0.9547991, 0.95814735, 0.9542411, 0.95591515, 0.953683, 0.9609375, 0.95647323, 0.95535713, 0.95647323, 0.95870537, 0.9592634, 0.95535713, 0.95703125, 0.95647323, 0.95814735, 0.95703125, 0.95814735, 0.95535713, 0.95814735, 0.95758927, 0.95758927, 0.95814735, 0.95870537, 0.95814735, 0.9598214, 0.95647323, 0.95535713, 0.95703125, 0.9603795, 0.9598214, 0.95703125, 0.95647323, 0.95647323, 0.9609375, 0.95758927, 0.95703125, 0.95647323, 0.95535713, 0.95647323, 0.9542411, 0.95814735, 0.95591515, 0.95703125, 0.95758927, 0.95591515, 0.95703125, 0.9592634, 0.95814735, 0.9547991, 0.9592634, 0.9598214, 0.95591515, 0.95647323, 0.95814735, 0.95814735, 0.95703125, 0.9547991, 0.95647323, 0.9592634, 0.95814735, 0.953683, 0.95591515, 0.95647323, 0.953683, 0.95814735, 0.95591515, 0.95703125, 0.95647323, 0.95535713, 0.9542411, 0.95758927, 0.95535713, 0.95647323, 0.9598214, 0.95591515, 0.95647323, 0.95647323, 0.95535713, 0.9542411, 0.95647323, 0.95535713, 0.95703125, 0.95758927, 0.9542411, 0.95703125, 0.95703125, 0.95814735, 0.95647323, 0.95647323, 0.96316963, 0.95814735, 0.95647323, 0.95703125, 0.95535713, 0.95814735, 0.95647323, 0.95591515, 0.95591515, 0.95703125, 0.95814735, 0.9598214, 0.95591515, 0.95703125, 0.95647323, 0.95647323, 0.95703125, 0.95647323, 0.95758927, 0.95647323, 0.95591515, 0.95703125, 0.95647323, 0.9547991, 0.9542411, 0.95758927, 0.95814735, 0.9547991, 0.95535713, 0.95814735, 0.95647323, 0.95591515, 0.95870537, 0.95647323, 0.95703125, 0.95535713, 0.95870537, 0.95758927, 0.95758927, 0.95870537, 0.95591515, 0.95647323, 0.95703125, 0.9598214, 0.95703125, 0.9542411, 0.95870537, 0.9603795, 0.95814735, 0.95814735, 0.95535713, 0.95870537, 0.95591515, 0.95870537, 0.95758927, 0.95647323, 0.95647323, 0.95647323, 0.95758927, 0.95535713, 0.9592634, 0.9598214, 0.95758927, 0.9603795, 0.95703125, 0.953683, 0.95703125, 0.95870537, 0.95758927, 0.95535713, 0.9592634, 0.95703125, 0.95758927, 0.95647323, 0.953683, 0.95758927, 0.95591515, 0.95647323, 0.95758927, 0.95703125, 0.9542411, 0.9598214, 0.95758927, 0.95703125, 0.9592634, 0.9592634, 0.95647323, 0.95703125, 0.9542411, 0.95814735, 0.95703125, 0.95535713, 0.95703125, 0.9592634, 0.95870537, 0.95647323, 0.95591515, 0.95647323, 0.95758927, 0.95870537, 0.95535713, 0.95591515, 0.9598214, 0.95535713, 0.95703125, 0.95647323, 0.95758927]",1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,C2ST,0.989799976348877,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,C2ST,0.9894999861717224,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,C2ST,0.9896500110626221,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,RS_stat,115.29022395980701,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,RS_stat,115.28153706160397,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,RS_stat,115.28146357874873,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
0.9,4235.8583984375,ABC,RS_pvalue,0.0,1.0,0,20.0,1000,2,128,256,39,0.001,0.001,7,0,0.5,0.0001,200,1e-06,40.0,0,40.07902
