,ALPHA,TRUE_DATA,TRUE_THETA,INDEX_MARGINAL,TEST_ACCURACY,TRAIN_ACCURACY,TEST_LOSSES,TRAIN_LOSSES,TIME_SIMULATIONS,TIME_TRAINING,TIME_EVAL,RANKSUMS_STAT_ABC,RANKSUMS_PVALUE_ABC,C2ST_ABC,RANKSUMS_STAT_NRE,RANKSUMS_PVALUE_NRE,C2ST_NRE,RANKSUMS_STAT_CORRECTED_NRE,RANKSUMS_PVALUE_CORRECTED_NRE,C2ST_CORRECTED_NRE,THETAS_ABC
0,1.0,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.4930589, 0.970002, 0.97191507, 0.96341145, 0.97583133, 0.9779247, 0.97846556, 0.9791967, 0.97953725, 0.9798177, 0.97879606, 0.9796575, 0.97839546, 0.9803085, 0.9802684, 0.98021835, 0.9803686, 0.9803385, 0.9804287, 0.9802484, 0.9803185, 0.9803185, 0.9802684, 0.98013824, 0.9802484]","[0.49910736, 0.93022156, 0.97081375, 0.9702568, 0.97489166, 0.97842026, 0.97813034, 0.9793663, 0.9788208, 0.97987366, 0.9801941, 0.9804878, 0.98002625, 0.9804611, 0.98046875, 0.98088074, 0.9810791, 0.98114777, 0.98135376, 0.98114395, 0.9817543, 0.9811592, 0.98153305, 0.9815178, 0.98122025]","[2.878359, 0.10259159, 0.1024294, 0.11383581, 0.085207246, 0.07938942, 0.078583695, 0.07558595, 0.07527147, 0.07403545, 0.07803314, 0.07499721, 0.0786739, 0.07308195, 0.07306615, 0.07334751, 0.0733616, 0.07250191, 0.07248606, 0.072627075, 0.0725678, 0.07256318, 0.07256275, 0.07277948, 0.072612286]","[2.8309484, 0.21154703, 0.10969642, 0.11562751, 0.08900737, 0.07922562, 0.07911502, 0.07456124, 0.07626723, 0.07273486, 0.07143435, 0.07111278, 0.071555905, 0.070303276, 0.07019649, 0.06870996, 0.068193555, 0.067809775, 0.06696989, 0.068091705, 0.06555214, 0.06761828, 0.06674096, 0.06676178, 0.06704526]",3.555723190307617,199.61349844932556,53.32149076461792,[120.46547939 120.46522832 120.46633424],[0. 0. 0.],[0.99795002 0.99795002 0.99795002],[10.6353255  10.21620502 11.51206047],[2.04114756e-26 1.67781332e-24 1.14704581e-30],[0.57599998 0.57674998 0.57590002],[10.5807106  11.02526595 10.81648524],[3.66170499e-26 2.88663992e-28 2.87595978e-27],[0.58039999 0.57585001 0.58104998],[-2.071306  -6.1846495 -5.989143  ... -2.1042957  3.3955317  3.1590226]
1,0.9,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.5041366, 0.9697416, 0.97323716, 0.9706831, 0.9689804, 0.9764724, 0.97670275, 0.9764824, 0.97459936, 0.97734374, 0.9766526, 0.9776843, 0.977504, 0.9770833, 0.9768229, 0.97721356, 0.9770032, 0.97736377, 0.97769433, 0.9776643, 0.9776743, 0.9777244, 0.9777444]","[0.50429153, 0.9259796, 0.96733856, 0.9685478, 0.9701042, 0.97433853, 0.9747963, 0.9740944, 0.97673035, 0.97655106, 0.9774933, 0.9777527, 0.97774124, 0.9781265, 0.9780693, 0.9785042, 0.97867584, 0.9786682, 0.9784241, 0.9783745, 0.9787178, 0.9787712, 0.9790001]","[1.482645, 0.10141644, 0.093317635, 0.10580959, 0.11624783, 0.08405547, 0.083674416, 0.08368224, 0.09236554, 0.08183502, 0.08292721, 0.08093469, 0.08077725, 0.08222901, 0.08282121, 0.08173442, 0.08261134, 0.08113158, 0.08052282, 0.08032237, 0.08028587, 0.08021895, 0.08038227]","[1.4729846, 0.20773494, 0.11593046, 0.11102334, 0.106568426, 0.09046358, 0.08915914, 0.09207442, 0.082682446, 0.08258063, 0.07961401, 0.07880539, 0.078848496, 0.07721482, 0.07733705, 0.076474756, 0.07576258, 0.0758432, 0.07628995, 0.07662138, 0.07552601, 0.07534374, 0.07498805]",4.0277745723724365,178.12157654762268,49.60149669647217,[120.04742073 120.04571592 120.04547588],[0. 0. 0.],[0.99809998 0.99800003 0.99809998],[31.47187899 31.76575652 31.06493461],[2.10747119e-217 1.92416669e-221 7.17106291e-212],[0.60595    0.60834998 0.60219997],[32.70957399 31.61257906 32.8918127 ],[1.14157032e-234 2.47988763e-219 2.87789318e-237],[0.60839999 0.60720003 0.60729998],[11.084296   4.5289235 -5.159549  ...  4.179291  -3.8737059  2.7268178]
2,0.5,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.50307494, 0.9513121, 0.9444812, 0.95814306, 0.95182294, 0.95377606, 0.9592648, 0.9638021, 0.96013623, 0.96334136, 0.9642227, 0.96408254, 0.9650441, 0.96516424, 0.96528447, 0.9654648, 0.9652244, 0.9648037, 0.9655048, 0.96490383, 0.96545476, 0.9654748, 0.9654648, 0.9655048, 0.965625, 0.96553487, 0.9655449]","[0.5040436, 0.88578415, 0.9358978, 0.9521179, 0.94627, 0.9572334, 0.95349884, 0.96290207, 0.9636955, 0.9621811, 0.9650383, 0.9655762, 0.96639633, 0.96652603, 0.9674263, 0.9670944, 0.9673157, 0.9676285, 0.9672165, 0.9677849, 0.9681549, 0.9682617, 0.9677048, 0.9683037, 0.96808624, 0.9686127, 0.9682503]","[1.9891789, 0.1526558, 0.1645541, 0.13660601, 0.1549613, 0.13968629, 0.12830082, 0.117084496, 0.13294655, 0.11808921, 0.11681579, 0.11623101, 0.11402234, 0.11359665, 0.11321455, 0.11302554, 0.11293787, 0.11446431, 0.11259948, 0.113427654, 0.11249255, 0.11258372, 0.11262487, 0.112852186, 0.11236695, 0.11261328, 0.11251909]","[1.9714977, 0.2991351, 0.21945748, 0.15449439, 0.17168778, 0.13856032, 0.15455142, 0.120960176, 0.118374586, 0.12236071, 0.114193596, 0.11204222, 0.10912071, 0.10857755, 0.10626052, 0.10657598, 0.10629793, 0.10471006, 0.106327206, 0.10486123, 0.10421701, 0.10391365, 0.10509459, 0.1032937, 0.104059756, 0.1033253, 0.1039611]",9.498201131820679,210.4137589931488,49.740182876586914,[118.08754357 118.08603105 118.08852335],[0. 0. 0.],[0.99645001 0.99659997 0.99655002],[-18.35032722 -21.36219717 -19.43677858],[3.28130364e-075 3.00346530e-101 3.77114603e-084],[0.56919998 0.5729     0.56555003],[-17.70478278 -18.97625173 -17.84105061],[3.85163801e-70 2.68050444e-80 3.39256878e-71],[0.56550002 0.5636     0.5625    ],"[-9.9321892e-03  2.8042528e-01  1.0321151e+01 ...  3.2900712e+00
  1.2063822e+00  6.1490021e+00]"
3,0.1,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.50407654, 0.8826422, 0.9230569, 0.92711335, 0.9084335, 0.92442906, 0.90773237, 0.9457933, 0.9411959, 0.94298875, 0.9392027, 0.9450821, 0.94290864, 0.941887, 0.94301885, 0.9432392, 0.94595355, 0.9467548, 0.94495195, 0.94659454, 0.9460737, 0.94671476, 0.94620395, 0.94594353, 0.94694513, 0.9468349, 0.9469051, 0.94671476, 0.9468149, 0.9468149]","[0.50392914, 0.7451668, 0.87784195, 0.8872185, 0.8870621, 0.9199295, 0.92987823, 0.9314766, 0.9339943, 0.93167496, 0.93955994, 0.9401169, 0.9409447, 0.9413986, 0.94278336, 0.943985, 0.94397736, 0.94524, 0.945137, 0.94517136, 0.94579315, 0.9461479, 0.94608307, 0.9458046, 0.94662476, 0.94675064, 0.94623184, 0.94652176, 0.9466591, 0.94621277]","[0.9838282, 0.30044752, 0.21611273, 0.23127365, 0.24662836, 0.20202172, 0.24284196, 0.19646293, 0.17560714, 0.1752499, 0.17467768, 0.16381168, 0.17229724, 0.1678475, 0.1654929, 0.17053556, 0.16023739, 0.16075449, 0.16141039, 0.16023292, 0.15958391, 0.15839817, 0.15889856, 0.15941681, 0.1584557, 0.15928076, 0.15852818, 0.15818828, 0.15806034, 0.15810569]","[0.9822564, 0.52832776, 0.32590204, 0.30417228, 0.34360164, 0.22757113, 0.20276031, 0.19882551, 0.19231382, 0.20263027, 0.17814738, 0.17568319, 0.17384273, 0.17164156, 0.1681619, 0.16578344, 0.16438754, 0.16172768, 0.16213575, 0.16176555, 0.16051434, 0.15948522, 0.15891677, 0.15966517, 0.15761445, 0.15774375, 0.15792948, 0.15783703, 0.15788096, 0.15819232]",43.89495301246643,248.47730040550232,46.6610472202301,[101.71275638 101.70230957 101.73287721],[0. 0. 0.],[0.98365003 0.98425001 0.98444998],[-3.3440443  -3.81938652 -3.09339428],[0.00082567 0.00013378 0.00197881],[0.51915002 0.5212     0.51765001],[-4.50404956 -4.59270907 -2.81171123],[6.66706488e-06 4.37528820e-06 4.92787223e-03],[0.52424997 0.5248     0.51719999],[ 7.8334293  6.898699   8.042666  ...  9.207409   6.918098  10.580461 ]
4,0.05,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.4994992, 0.87748396, 0.88638824, 0.8409956, 0.91200924, 0.86465347, 0.9118089, 0.908113, 0.9313902, 0.8839944, 0.93553686, 0.8865585, 0.93634814, 0.92890626, 0.9361879, 0.9352965, 0.93115985, 0.9254106, 0.9352965, 0.9383213, 0.93755007, 0.9379808, 0.9382412, 0.938762, 0.9383113, 0.93763024, 0.9389423, 0.9383413, 0.9379908, 0.9386018, 0.938762, 0.93846154, 0.9385016]","[0.50078964, 0.684124, 0.8480072, 0.8521843, 0.886055, 0.87472534, 0.8926964, 0.8724632, 0.9018402, 0.8936844, 0.9199753, 0.92251205, 0.9222374, 0.9271126, 0.9350586, 0.93540955, 0.9355087, 0.93715286, 0.9357681, 0.937973, 0.937603, 0.9392662, 0.9384651, 0.9378891, 0.9392319, 0.9388046, 0.93933487, 0.9396286, 0.9394913, 0.93922806, 0.9395714, 0.9397087, 0.9391632]","[1.250766, 0.33719826, 0.30154553, 0.43927354, 0.23593508, 0.31594324, 0.22937354, 0.27624682, 0.21323565, 0.35978827, 0.1933675, 0.28532794, 0.18169063, 0.20101897, 0.18388034, 0.1836499, 0.1905617, 0.20795396, 0.18339358, 0.17611733, 0.17747448, 0.1769471, 0.17704666, 0.17525356, 0.17635882, 0.17744501, 0.17518403, 0.17550601, 0.17702572, 0.17521022, 0.17492859, 0.17519592, 0.17537497]","[1.2497362, 0.6008504, 0.3774499, 0.38645446, 0.3035658, 0.33024523, 0.28684518, 0.32824725, 0.26607582, 0.2742408, 0.2225875, 0.2161471, 0.21616559, 0.20357698, 0.18620852, 0.18410842, 0.18348785, 0.17928597, 0.18166292, 0.17722803, 0.17780682, 0.17429525, 0.17568582, 0.17690471, 0.17334348, 0.17426619, 0.17361525, 0.17286389, 0.17331266, 0.1733416, 0.17312914, 0.17266317, 0.17405955]",93.59150743484497,269.32733631134033,43.87372803688049,[84.25008369 84.30698269 84.2409363 ],[0. 0. 0.],[0.97100002 0.97100002 0.97125   ],[-1.19217727  0.03139555  0.29406491],[0.23319174 0.97495409 0.7687083 ],[0.51195002 0.50989997 0.50805002],[-0.77834755 -0.27052346 -1.16105116],[0.43636415 0.78675757 0.2456211 ],[0.50470001 0.51059997 0.51085001],[10.794605 11.785239  9.077813 ...  9.507734  9.49414   8.754934]
5,0.01,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.49972957, 0.5015825, 0.51734775, 0.50040066, 0.48771033, 0.53246194, 0.5959936, 0.81371194, 0.8458734, 0.84042466, 0.86227965, 0.8651843, 0.8586238, 0.86153847, 0.86345154, 0.8734275, 0.8739984, 0.8777043, 0.8763121, 0.8711238, 0.87385815, 0.87680286, 0.8758113, 0.8754207, 0.8767528, 0.8779447, 0.87436897, 0.8794371, 0.8776042, 0.8792769, 0.87951726]","[0.49983215, 0.50045395, 0.5044594, 0.5027962, 0.5056114, 0.5042572, 0.52327347, 0.70970535, 0.79432297, 0.82403183, 0.8284836, 0.84583664, 0.8398857, 0.84898376, 0.8549347, 0.858387, 0.8682976, 0.8683319, 0.8735962, 0.8742981, 0.8743744, 0.8774643, 0.87651825, 0.8792496, 0.87953186, 0.8801422, 0.88010025, 0.8802414, 0.8807678, 0.88007736, 0.8808136]","[8.584281, 0.6942757, 0.6934618, 0.70229644, 0.6930942, 0.6931218, 0.653818, 0.4441272, 0.38880104, 0.37029305, 0.33898637, 0.3292331, 0.37134635, 0.3365415, 0.33533412, 0.31203595, 0.3087195, 0.30201033, 0.30385882, 0.3148725, 0.30972818, 0.30152944, 0.30274415, 0.304176, 0.30230933, 0.29865226, 0.30516645, 0.29684064, 0.29983547, 0.2968665, 0.29646337]","[8.579953, 0.72831357, 0.6979918, 0.6964552, 0.69428504, 0.69433665, 0.68967617, 0.55550563, 0.45833468, 0.40171725, 0.40748152, 0.3771359, 0.3886705, 0.37251997, 0.35788888, 0.3425181, 0.32054186, 0.31761605, 0.30848694, 0.30737925, 0.30628657, 0.30120337, 0.30212784, 0.29768932, 0.2973025, 0.29576218, 0.2957018, 0.2954168, 0.29460812, 0.29536748, 0.29437602]",467.2209520339966,392.14744305610657,52.484230756759644,[28.12175643 28.17028451 28.30621922],[5.31014132e-174 1.35259687e-174 2.89746474e-176],[0.88300002 0.88314998 0.88424999],[-3.94984309 -4.10505235 -2.75393534],[7.82024434e-05 4.04223333e-05 5.88834009e-03],[0.51504999 0.52219999 0.52170002],[-2.57177746 -4.84879682 -4.28259183],[1.01177905e-02 1.24212565e-06 1.84728858e-05],[0.51494998 0.5266     0.52375001],[11.511277 12.100809 11.469092 ... 11.753375 11.196591 12.515418]
6,0.005,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.50012016, 0.49999, 0.49967948, 0.50015026, 0.49988982, 0.49983975, 0.50054085, 0.49983975, 0.50028044, 0.49984977, 0.5001703, 0.49982974, 0.49992988, 0.49984977, 0.49785656, 0.4986178, 0.5016126, 0.49825722, 0.5007512, 0.50002, 0.50164264]","[0.49967194, 0.49905014, 0.49931335, 0.49788666, 0.500267, 0.49851227, 0.5017624, 0.49972534, 0.49890518, 0.5014076, 0.4996109, 0.5000725, 0.4990883, 0.50032425, 0.5002403, 0.50136185, 0.5003166, 0.50040054, 0.50063705, 0.50294495, 0.50322723]","[9.247527, 0.6945784, 0.6939575, 0.6938425, 0.69365954, 0.69385695, 0.6932233, 0.6939767, 0.69316626, 0.6931862, 0.69410735, 0.6932158, 0.6932183, 0.69318074, 0.69315517, 0.69315773, 0.693164, 0.6931592, 0.69317305, 0.69316036, 0.6931667]","[9.257097, 0.7401242, 0.70169425, 0.6968595, 0.6956518, 0.6951404, 0.69410086, 0.69470394, 0.6938681, 0.6939549, 0.6935414, 0.69339615, 0.6933117, 0.69327384, 0.6932317, 0.6931957, 0.69318867, 0.6931662, 0.69314873, 0.6931474, 0.69313854]",1375.3908729553223,343.16589093208313,78.17155075073242,[13.63182774 13.71850077 13.85368228],[2.59011062e-42 7.86754300e-43 1.20854360e-43],[0.79299998 0.79210001 0.79095   ],[120.16504473 120.44618156 120.82775844],[0. 0. 0.],[0.99809998 0.99814999 0.99800003],[13.03568583 15.16124723 17.55468793],[7.66744458e-39 6.38453057e-52 5.47671714e-69],[0.7852     0.7938     0.78904998],[11.995112 12.231409 11.467331 ... 12.086331 11.704696 11.914479]
7,0.001,"[12.001066  12.023936   9.650137  11.418143  12.549765  12.203298
 13.072899  12.2243395 11.593421  10.447797  11.811933  11.908973
 13.083689  10.606676   9.88404   12.876793  12.982389  11.748909
 11.83703   10.459519  13.223818  10.395564  11.166922  11.706308
 11.6517935 10.891777  13.5170765 13.078857  13.050509  11.43246
 11.943329  14.350042  11.416748  14.356832  12.764876  10.68101
 13.622426  13.003251  11.60178   10.019922  13.127244  11.537965
 11.907102  13.475912  12.802962  11.07793   11.555008  14.508309
 11.479247  11.134828  12.212911  10.056914  10.993182  12.480466
 12.7952    11.407513  10.837148  12.759424  12.181522  12.964409
 11.030612  11.653519  11.77918   11.040809  12.156753  12.254297
 11.921956  10.194951  11.256776  11.806977  10.343175  11.235926
 11.684961  12.200028  11.174852  10.352699  12.744741  10.709398
 11.676143  11.658879   9.727132  11.339111  12.774394  11.563109
 11.388262  11.9867935 11.427153  12.984244  14.367778  11.815139
 11.9519    13.629564  10.99963   12.667934  14.128009  13.074851
 10.413678  11.326952  10.756671  11.259643 ]",[11.867113],0,"[0.49853766, 0.49821714, 0.5015625, 0.5014924, 0.5016126, 0.50154245, 0.50155246, 0.5015124, 0.4983173, 0.4984976, 0.49838743, 0.498127, 0.49847758, 0.50154245, 0.5015625, 0.50146234, 0.49573317, 0.49784654, 0.49671474, 0.49829727, 0.49776644]","[0.49981308, 0.50063324, 0.49768066, 0.49846268, 0.5024719, 0.49970245, 0.4997406, 0.49870682, 0.49967575, 0.49990463, 0.49983215, 0.49975204, 0.50071716, 0.4976921, 0.50060654, 0.49892044, 0.49772263, 0.49906158, 0.49700928, 0.500267, 0.50089264]","[5.1789384, 0.6995793, 0.69558465, 0.6993466, 0.69772357, 0.70026153, 0.69328284, 0.6936328, 0.6961033, 0.6933458, 0.69330865, 0.69318944, 0.694016, 0.69332004, 0.69343144, 0.6931785, 0.6931575, 0.69315606, 0.69315755, 0.6931853, 0.6931686]","[5.168051, 0.76967037, 0.7019992, 0.69620204, 0.6953422, 0.69557446, 0.69436646, 0.69412684, 0.6939572, 0.693993, 0.69353217, 0.69360155, 0.6933372, 0.6933346, 0.6932262, 0.6932069, 0.693189, 0.69317853, 0.6931678, 0.6931512, 0.6931548]",9844.509548902512,342.6116533279419,53.85697555541992,[1.48503094 1.47438695 2.1541352 ],[0.13753563 0.14037744 0.03122957],[0.53640002 0.54229999 0.53969997],[120.14645725 120.31722405 120.55780937],[0. 0. 0.],[0.99790001 0.99795002 0.99779999],[2.8093757  2.64712433 3.94596809],[4.96376827e-03 8.11795001e-03 7.94781987e-05],[0.53315002 0.54184997 0.53799999],[11.983066 12.002881 11.70303  ... 11.93378  11.759848 11.909121]
