ranks,true_phis
48,2.45070743560791
112,2.765779972076416
59,2.512376546859741
96,2.4027791023254395
81,2.4812064170837402
95,2.839451789855957
86,2.4692575931549072
98,2.253234624862671
34,2.378267288208008
111,2.673530101776123
104,2.720329999923706
9,2.2135462760925293
124,2.5664587020874023
71,2.350289821624756
95,2.7395479679107666
89,2.3599681854248047
25,2.5484254360198975
82,2.239243268966675
46,2.437032461166382
126,2.562607526779175
114,2.7183163166046143
112,2.507591724395752
109,2.3770689964294434
35,2.324557065963745
71,2.4775402545928955
29,2.3504302501678467
59,2.2693052291870117
53,2.292285442352295
88,2.2374165058135986
91,2.397123098373413
60,2.281439781188965
60,2.644378423690796
47,2.2873752117156982
107,2.306683301925659
64,2.394362688064575
51,2.6595382690429688
68,2.256549596786499
111,2.7441349029541016
81,2.59696102142334
28,2.6388511657714844
32,2.2735729217529297
88,2.556870937347412
90,2.7430081367492676
70,2.2783987522125244
63,2.6339070796966553
124,2.6148476600646973
29,2.540656566619873
124,2.5069215297698975
116,2.3912196159362793
5,2.403884172439575
68,2.551865339279175
93,2.4477598667144775
121,2.529336929321289
78,2.87750244140625
107,2.3612167835235596
12,2.715635061264038
27,2.303107500076294
93,2.561577081680298
45,2.348336935043335
5,2.364879846572876
104,2.3658037185668945
89,2.243295907974243
118,2.307006597518921
32,2.421389579772949
46,2.670006036758423
107,2.4468653202056885
22,2.581900119781494
77,2.4817652702331543
90,2.3761210441589355
26,2.4318137168884277
100,2.7239880561828613
76,2.2980268001556396
52,2.784240484237671
15,2.2092862129211426
58,2.6512131690979004
98,2.607832908630371
106,2.5083537101745605
94,2.7833006381988525
121,2.43035888671875
30,2.398763656616211
79,2.6996257305145264
40,2.3856983184814453
49,2.5803704261779785
98,2.5181119441986084
78,2.762389659881592
99,2.7788283824920654
114,2.482682943344116
53,2.238213539123535
95,2.7993130683898926
122,2.685899019241333
83,2.2479372024536133
85,2.72216534614563
113,2.331414222717285
39,2.3236565589904785
34,2.372812509536743
96,2.563420057296753
112,2.442678451538086
22,2.3749001026153564
118,2.641026258468628
72,2.4782211780548096
28,2.1995596885681152
119,2.3745336532592773
114,2.4692628383636475
31,2.4478673934936523
84,2.410226583480835
78,2.3485515117645264
2,2.41813063621521
30,2.562060594558716
115,2.7905588150024414
87,2.4087469577789307
109,2.760977029800415
86,2.4880459308624268
97,2.613929510116577
