method,mse_mean,mse_std,wasserstein_distance,c2st
NRE_Standard,8.437437645625323e-05,7.121968519641086e-05,0.010624920233734972,0.5440000295639038
NRE_Corrected,0.00010660961561370641,4.375371281639673e-05,0.011756008206544056,0.5508000254631042
